study,variant,metric,seed_count,mean,between_seed_sd,seed_min,seed_max
Pilot 1,M3,zumbach_rank,3,0.015383774350790422,0.018788075056428405,-0.005826925097220462,0.02993518996636436
Pilot 1,M4,excess_kurtosis,3,2.399389930784509,0.1582043116666839,2.2885989983025206,2.5805734377517897
Pilot 1,M4,leverage_rank,3,-0.006928869660442892,0.0015194851042688378,-0.008680691132508288,-0.005968246885107303
Pilot 1,M4,max_abs_return_acf,3,0.077425099414973,0.0026909698928382834,0.07567310729448708,0.08052352920234451
Pilot 1,M4,mean_log_variance_acf,3,0.5674031449460267,0.012294310300005919,0.5582534271157346,0.5813781136196999
Pilot 1,M4,p_cap_exceedance_fraction,3,0.0011501736111110992,0.00010847741472707702,0.0010644014550264447,0.0012721147486772324
Pilot 1,M4,rough_hurst,3,0.20995384764860284,0.007828682036753201,0.20201539836358065,0.2176679393974917
Pilot 1,M4,stage2_proxy_acceptance,3,0.006944444444444444,0.012028130608117204,0.0,0.020833333333333332
Pilot 1,M4,zumbach_rank,3,0.01540132539538618,0.019380797343162,-0.006425037663975303,0.030595010675494038
Stage 2,M2,excess_kurtosis,5,8.498676130497572,0.41543309495313885,7.944898499733305,9.066386080723912
Stage 2,M2,leverage_rank,5,-0.00581848396247542,0.003356220165416029,-0.010358357549201353,-0.0028715601158997477
Stage 2,M2,max_abs_return_acf,5,0.07845014695409186,0.002537375449936569,0.0753675036556108,0.08095007146610009
Stage 2,M2,mean_log_variance_acf,5,0.20057596657465987,0.02037427814559993,0.1776368167245249,0.22858536085794762
Stage 2,M2,p_cap_exceedance_fraction,5,0.0029193793402777775,0.00012778548802033817,0.0027109297495039684,0.0030240497891865074
Stage 2,M2,rough_hurst,5,0.04080779790346929,0.002726131596867244,0.03835219405405027,0.04544578514561527
Stage 2,M2,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M2,zumbach_rank,5,0.015242108608214395,0.007758323944423918,0.00518946185092312,0.026237663560043697
Stage 2,M2+O,excess_kurtosis,5,8.751234230060536,0.5254337698536232,8.0426275676369,9.471403471939187
Stage 2,M2+O,leverage_rank,5,-0.0053085888200540745,0.0031624657552904215,-0.008751056082110301,-0.002272091387945396
Stage 2,M2+O,max_abs_return_acf,5,0.07985780265589112,0.0021327710541325195,0.07761389700640184,0.08268351424675285
Stage 2,M2+O,mean_log_variance_acf,5,0.21721562314573287,0.01993084592292812,0.1936666602422349,0.2423130821869569
Stage 2,M2+O,p_cap_exceedance_fraction,5,0.0029857623387896824,0.00017460683487486304,0.0026907784598214288,0.0031209309895833333
Stage 2,M2+O,rough_hurst,5,0.04823072408153843,0.0031013803941407274,0.04564794998738528,0.05333453493844212
Stage 2,M2+O,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M2+O,zumbach_rank,5,0.014892623883107359,0.0033116606965367134,0.011115212684462287,0.018484393156410837
Stage 2,M3,excess_kurtosis,5,8.50982740954831,0.4117413244704261,7.962133733268656,9.074859862902395
Stage 2,M3,leverage_rank,5,-0.005818723860625066,0.003328683640253277,-0.010303676103191235,-0.002882521210178513
Stage 2,M3,max_abs_return_acf,5,0.07846585144782857,0.002541577561092737,0.0753774260916496,0.08096808745788212
Stage 2,M3,mean_log_variance_acf,5,0.20081726760016858,0.020338515201978078,0.17777067494806673,0.2287100023067739
Stage 2,M3,p_cap_exceedance_fraction,5,0.002940421937003968,0.00013103866234723,0.0027246868799603173,0.003048270089285714
Stage 2,M3,rough_hurst,5,0.04105727986477733,0.0027220564665727236,0.038607103347710864,0.045689325330244265
Stage 2,M3,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M3,zumbach_rank,5,0.014826696941451686,0.007719817865527211,0.0047886978599141795,0.02577499775557754
Stage 2,M4,excess_kurtosis,5,8.762464945457472,0.5228129315515928,8.058409024201303,9.481246239217867
Stage 2,M4,leverage_rank,5,-0.005312296786379693,0.0031397932971944245,-0.008708027066378219,-0.0023178156969970907
Stage 2,M4,max_abs_return_acf,5,0.0798899541250498,0.0021402210503118314,0.0776550821037034,0.08275994617022722
Stage 2,M4,mean_log_variance_acf,5,0.21744168162532224,0.019931041082904128,0.19375750240082226,0.24249717790876962
Stage 2,M4,p_cap_exceedance_fraction,5,0.0030109126984126985,0.00017940606026391233,0.0027056981646825396,0.003146313864087302
Stage 2,M4,rough_hurst,5,0.04841523809732723,0.0030973109847436957,0.045838415222205775,0.05351401595878587
Stage 2,M4,stage2_proxy_acceptance,5,0.0,0.0,0.0,0.0
Stage 2,M4,zumbach_rank,5,0.014466479726754033,0.0032483424433549005,0.010908276219097728,0.018070514006969914
