candidate_id,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,accepted_mean,accepted_std,distance_mean,distance_std,rough_hurst_mean,rough_hurst_std,leverage_rank_mean,leverage_rank_std,zumbach_rank_mean,zumbach_rank_std,excess_kurtosis_mean,excess_kurtosis_std,mean_log_variance_acf_mean,mean_log_variance_acf_std,max_abs_return_acf_mean,max_abs_return_acf_std,p_cap_exceedance_fraction_mean,p_cap_exceedance_fraction_std
17,0.3,0.073,3.0,0.26,0.4,0.5477225575051661,4.062785829848253e-05,3.789979358102032e-05,0.08810491557063829,0.004744300276010661,-0.007076098709642512,0.005528284783301186,0.05366057172666587,0.023033208832143798,6.9019158930241815,0.79594648643482,0.21678701958115995,0.016632305884528586,0.0817902187941286,0.0056773378945456044,0.00014384920634920637,0.00011553387598067577
18,0.3,0.073,3.0,0.3,0.4,0.5477225575051661,8.759306853673191e-05,8.258360131404412e-05,0.0956417843635542,0.005339850399416446,-0.005028048388087651,0.005871932627190773,0.05404260736671147,0.02175742768482564,7.867315496249932,0.8748562563359235,0.21136795513662757,0.015818023947404107,0.08280956089788763,0.004667593056069445,0.00023809523809523812,0.00016034950273060132
19,0.3,0.073,3.0,0.34,0.2,0.447213595499958,0.00013761319180196756,0.00013125822772830928,0.10212607260881681,0.005459713501426351,-0.00334537831596519,0.006061540580354982,0.05193178113716188,0.020380182250519303,9.072031237636347,1.0558297545671966,0.2069119914969169,0.015800096755491606,0.08378428355212886,0.003736641691354738,0.0005357142857142857,0.00034748785190959083
20,0.3,0.073,3.3,0.22,0.2,0.4472135954999579,0.00022748499899788934,0.000398859210368736,0.07293363046395729,0.003583360102598353,-0.011438782670110463,0.004884214857085207,0.043471871131801246,0.024964121003247977,6.531719129766307,0.7867813358616114,0.20715864849430696,0.017883895957238164,0.0809836937638849,0.006611091508102888,9.92063492063492e-05,9.279904233070291e-05
21,0.3,0.073,3.3,0.26,0.2,0.4472135954999579,2.1288929213215697e-05,1.2665142173422229e-05,0.08108197374911283,0.004399904966363795,-0.008749199265624532,0.005252774165994433,0.047433828000490064,0.024097084089459615,7.239693278037552,0.842390742402258,0.20347935284817747,0.016752737784642962,0.08193368012721622,0.006010887291779382,0.00018353174603174602,0.00012225949944311742
22,0.3,0.073,3.3,0.3,0.2,0.4472135954999579,5.009601381580397e-05,4.770796447759343e-05,0.08868239388335829,0.004993984322520759,-0.006569319152234876,0.005587244494359772,0.04871716277514517,0.022681257634938883,8.138202699732243,0.9324921364407252,0.20019641900163446,0.01632310698676876,0.08292325839006331,0.005137593577193638,0.0003521825396825397,0.00021146898558821635
23,0.3,0.073,3.3,0.34,0.2,0.4472135954999579,9.437595169748409e-05,9.054382189761532e-05,0.09540885289828378,0.005144389314346605,-0.004713505155832401,0.005819351401030499,0.047496619387699265,0.021487055140480528,9.27440387653946,1.0764546921546048,0.1975961458710917,0.016536894884769882,0.08390907469354948,0.004104066300359483,0.000818452380952381,0.0004649884240886081
24,0.3,0.073,3.6,0.22,0.2,0.447213595499958,0.0023603855812529806,0.0037051137601416726,0.06702195321569965,0.0033639914423069313,-0.013158635951006682,0.004583595249909478,0.036756479314999126,0.025455105931679274,6.945412805382546,0.8281861091815169,0.1927197121208492,0.017510993881327513,0.08110109001800006,0.0068573278180997605,0.00015376984126984128,9.982446328124061e-05
25,0.3,0.073,3.6,0.26,0.2,0.4472135954999579,9.852605599948734e-05,0.0001365742438584611,0.07484179849930868,0.004071605547995888,-0.01040152170197311,0.0049930601134714385,0.04149668377244699,0.024648758039876675,7.627142343426579,0.9094560207303974,0.19097563736650408,0.01679713826877231,0.08207094585595971,0.006289330356835881,0.0002728174603174603,0.00014461686247136163
26,0.3,0.073,3.6,0.3,0.2,0.4472135954999579,4.875974033526386e-05,4.637090641273095e-05,0.08234690307236406,0.0046309612629344575,-0.008050112925457159,0.005322099177503499,0.04341712867824122,0.023339083805459068,8.474215767348175,0.9905357604560368,0.18951871745027746,0.016703665148176106,0.08303236268212007,0.005617254708483275,0.0006448412698412699,0.00033413178534988787
27,0.3,0.073,3.6,0.34,0.2,0.4472135954999579,7.926533611364445e-05,4.883786412841152e-05,0.08915107685300278,0.004774944407852781,-0.006126726064102379,0.005586889651242909,0.043083145697286294,0.022298568937250473,9.577863255471934,1.0928204066427187,0.1885491789335503,0.017087677466771662,0.08414276735114319,0.00454702795377087,0.0011359126984126983,0.0005446193651509789
28,0.3,0.073,3.9,0.22,0.0,0.0,0.009402348683641593,0.007437617021473719,0.061902363294298504,0.003170479253535357,-0.014740634079702284,0.004348840818956365,0.030630347112724506,0.025801257389558047,7.39661292063086,0.8783063032245749,0.17956365379110645,0.017117963127437966,0.08137760256264656,0.006890697296553219,0.0002529761904761905,0.00011146927110240193
29,0.3,0.073,3.9,0.26,0.4,0.5477225575051661,0.0012404414590928003,0.0022273578421024027,0.06933154913412516,0.003764588491846999,-0.011900310127744874,0.004737934511720631,0.035884743234063446,0.025195974436840653,8.06508633017549,0.9830739933935772,0.1793842358143078,0.016755407087803324,0.08222774778739093,0.006694997336059678,0.0005109126984126984,0.00019418233264943834
30,0.3,0.073,3.9,0.3,0.2,0.4472135954999579,0.00010646575561358923,0.0002167169923859501,0.07662374757109319,0.004243332327242521,-0.009492350857210802,0.005051410916870921,0.03838161330584124,0.024065794506130937,8.891614014451266,1.0461134265553278,0.17946564871505516,0.016929985665686615,0.08310020108001673,0.006019173354720374,0.0009771825396825396,0.0004678239466796496
31,0.3,0.073,3.9,0.34,0.2,0.4472135954999579,0.00010346714200426786,0.00014726770872760186,0.08336739975480992,0.004345900225065051,-0.007533508363788968,0.00532327557759537,0.0388310068491209,0.02295302288934161,9.909381367999671,1.1245028405785051,0.1798907346677469,0.017403731914512686,0.084254966844981,0.004819026989526351,0.001617063492063492,0.0006907587139794357
