seed,candidate_id,accepted,distance,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,p_cap_exceedance_fraction
196613,16,False,1.4840614809071673e-05,0.3,0.073,3.0,0.22,0.1573263110990852,0.5375743022147588,6.643627751276522,3.5458183111400086,3.154363239627059,0.5696077452240487,0.08403945553501348,0.20241593885856587,0.07772996013615037,0.08386349355125153,-0.026707537570821286,-0.005719407702274145,0.22620294188347692,0.024746995741921317,0.809375,0.00017361111111111112
196613,17,False,5.6052531296087e-05,0.3,0.073,3.0,0.26,0.1528991742652902,0.5606761068319476,7.654612374809671,3.6537361622009152,3.0089366121408707,0.5196169144796139,0.09371744071480456,0.21971474980457445,0.07892659886622941,0.0849239724666405,-0.0185512673822372,-0.003567800283363595,0.22556806410893382,0.027791683779614322,0.809375,0.00029761904761904765
196613,18,False,0.00011253451429795357,0.3,0.073,3.0,0.3,0.14837291969291022,0.583550453819418,8.90580012817242,3.679331646562358,2.922684969936553,0.5578456516763945,0.10202708875341077,0.22995651090439656,0.07732523706772947,0.08532489740100736,-0.01065399489091669,-0.0017199286613193642,0.22523304382344927,0.031266231641243473,0.8187499999999999,0.00047123015873015874
196613,19,False,0.00016678746645365467,0.3,0.073,3.0,0.34,0.14389232402347366,0.6146005160187311,10.580122298059678,3.7359449655920827,2.8795429522384026,0.5877686711903856,0.10867576318917235,0.23344085729367223,0.07377878974810274,0.0856248129808594,-0.00398229647659877,-0.00035454366023756397,0.22544514188026477,0.0360234222992025,0.8343750000000001,0.0010664682539682539
196613,20,False,9.749331387466503e-07,0.3,0.073,3.3,0.22,0.15501013352930434,0.5399910349098147,7.050701891872363,3.5516583205596555,3.1027072001189486,0.5548539610033274,0.07685723724318623,0.1923591358546619,0.0719485515360781,0.08469463845448183,-0.03048105417048618,-0.007415466880717862,0.21217521745028303,0.02464559149569671,0.796875,0.0002232142857142857
196613,21,False,2.5410552257103914e-05,0.3,0.073,3.3,0.26,0.15074791372599966,0.5604241249006898,8.007770222481296,3.6684434322251582,2.975330090480449,0.51945744651662,0.08633177037550785,0.21117836169373322,0.07429099959320698,0.08560845758683358,-0.022763957872468977,-0.005015794278835042,0.21384756357677434,0.027489912485453866,0.8093750000000001,0.00034722222222222224
196613,22,False,6.433453636359472e-05,0.3,0.073,3.3,0.3,0.146429867586973,0.5817096292902465,9.234743598998104,3.7304743504222335,2.9076406889417807,0.5557221511760269,0.09483918253728746,0.22351535352902163,0.07336677908611837,0.08604865618852614,-0.015359990379392782,-0.0032516382875637144,0.2155254884498278,0.030824102398650747,0.828125,0.0006696428571428571
196613,23,False,0.00011249300616627982,0.3,0.073,3.3,0.34,0.14215085346240178,0.6064207857805979,10.772263448031374,3.7794800643548605,2.8348661802522317,0.5877001468512479,0.1018322187365552,0.22872636405308375,0.07033076942768915,0.08590153651196772,-0.008584955379523005,-0.0017210869640471153,0.21739672136513588,0.03516045108849751,0.8343750000000001,0.0015128968253968254
196613,24,True,0.0,0.3,0.073,3.6,0.22,0.1526771334581182,0.5435878580957879,7.48960381116736,3.6152931015381067,3.105433375071682,0.5876646552110354,0.07057476633843314,0.18243745233055358,0.06618224321138494,0.08523939423309235,-0.033624516079371426,-0.009127446371165566,0.1990022156352756,0.02453757107499862,0.784375,0.00029761904761904765
196613,25,False,4.920364815727609e-06,0.3,0.073,3.6,0.26,0.14860462313033876,0.5588689779201812,8.447002961155206,3.667913421409854,2.9560273148307816,0.5264270683610399,0.07970936046437685,0.20202263574132945,0.06896130755317302,0.08624584472439199,-0.026577495008216365,-0.006686831794940511,0.20255258055326988,0.027280888612901677,0.803125,0.0004464285714285714
