model,seed,return_type,method,forward,backward,zumbach
anchor,1370003,log,trim_990,0.279545341452126,0.17423141202725867,0.10531392942486731
anchor,1230001,log,trim_995,0.2610905127486032,0.15001356449484693,0.11107694825375629
anchor,1270009,log,trim_995,0.2640825866925786,0.12023440554831358,0.14384818114426506
anchor,1290017,log,trim_995,0.29597680582084696,0.1813447272801443,0.11463207854070268
anchor,1310021,log,trim_995,0.2685465210130608,0.13293521537098787,0.1356113056420729
anchor,1370003,log,trim_995,0.29454655483381914,0.17038496016237661,0.12416159467144255
anchor,1230001,log,winsor_950,0.26429365273164157,0.187000048224581,0.07729360450706055
anchor,1270009,log,winsor_950,0.2809505883723651,0.14980149190027053,0.13114909647209455
anchor,1290017,log,winsor_950,0.3014909091685805,0.22936410115222713,0.07212680801635342
anchor,1310021,log,winsor_950,0.2863080272069649,0.1684560706978253,0.11785195650913957
anchor,1370003,log,winsor_950,0.31989036211882976,0.21794775045661008,0.10194261166221967
anchor,1230001,log,winsor_975,0.2914805280786455,0.1792505839528506,0.11222994412579489
anchor,1270009,log,winsor_975,0.2949255809188802,0.1378711075553536,0.1570544733635266
anchor,1290017,log,winsor_975,0.33307739909891176,0.21743771300348735,0.1156396860954244
anchor,1310021,log,winsor_975,0.30052471530508096,0.15903489933890777,0.14148981596617316
anchor,1370003,log,winsor_975,0.3283891774040798,0.19672138839011685,0.13166778901396295
anchor,1230001,log,winsor_990,0.30647897834242754,0.16614058421940267,0.14033839412302487
anchor,1270009,log,winsor_990,0.3049117952542668,0.12664619191610743,0.17826560333815938
anchor,1290017,log,winsor_990,0.3481853891286051,0.19975465649410426,0.1484307326345008
anchor,1310021,log,winsor_990,0.31229623092333675,0.15057709383140871,0.16171913709192803
anchor,1370003,log,winsor_990,0.32386651535533767,0.17163309172707006,0.15223342362826764
anchor,1230001,log,winsor_995,0.30403300089651797,0.15523621120574305,0.14879678969077492
anchor,1270009,log,winsor_995,0.30682986748387747,0.11983502373904563,0.18699484374483183
anchor,1290017,log,winsor_995,0.34531934076596166,0.18777319836983739,0.1575461423961243
anchor,1310021,log,winsor_995,0.31465482144804036,0.14498815405070922,0.1696666673973311
anchor,1370003,log,winsor_995,0.31353006471562156,0.1588755498753189,0.15465451484030263
primary,1230001,ito,gaussian_rank,0.15421516757664755,0.17332235561877424,-0.019107188042126702
primary,1270009,ito,gaussian_rank,0.19314407432539837,0.14886474908589797,0.04427932523950042
primary,1290017,ito,gaussian_rank,0.19618175579466965,0.21561057576060494,-0.019428819965935273
primary,1310021,ito,gaussian_rank,0.1957383155686797,0.17233863371825492,0.023399681850424816
primary,1370003,ito,gaussian_rank,0.20750905023936303,0.16912927461430594,0.038379775625057067
primary,1230001,ito,kendall,0.08779357345816509,0.11778244205353716,-0.029988868595372063
primary,1270009,ito,kendall,0.11698426010360374,0.0990930449222425,0.01789121518136125
primary,1290017,ito,kendall,0.11380378743337784,0.14257734065337302,-0.02877355321999518
primary,1310021,ito,kendall,0.11830296979055081,0.11572415559308181,0.002578814197469002
primary,1370003,ito,kendall,0.1281387100316568,0.11276559330535603,0.015373116726300786
primary,1230001,ito,pearson,0.25581970127149756,0.13581058985618302,0.12000911141531453
primary,1270009,ito,pearson,0.26670251367757886,0.101748932925037,0.16495358075254182
primary,1290017,ito,pearson,0.2981208826614502,0.1804569649963974,0.11766391766505278
primary,1310021,ito,pearson,0.25604886902064133,0.14003899700029632,0.11600987202034505
primary,1370003,ito,pearson,0.257684780944034,0.13654256722600683,0.12114221371802723
primary,1230001,ito,spearman,0.13072498161872556,0.17525942826482688,-0.04453444664610134
primary,1270009,ito,spearman,0.17336757730655494,0.14733639864861314,0.0260311786579418
primary,1290017,ito,spearman,0.16860417778785453,0.21139082281204322,-0.04278664502418869
