model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,1,log,10,forward,7,-0.029323803688857935,124
primary,1230001,1,log,10,forward,8,0.1301999342551408,124
primary,1230001,1,log,10,forward,9,0.042323485982572635,124
primary,1230001,1,log,10,forward,10,0.3306589651415508,124
primary,1230001,1,log,10,backward,1,0.3340964052409398,124
primary,1230001,1,log,10,backward,2,-0.16172793893231732,124
primary,1230001,1,log,10,backward,3,-0.11923328535512741,124
primary,1230001,1,log,10,backward,4,0.006799854338390251,124
primary,1230001,1,log,10,backward,5,0.04222780682549035,124
primary,1230001,1,log,10,backward,6,0.05557552819985906,124
primary,1230001,1,log,10,backward,7,-0.03681378860337827,124
primary,1230001,1,log,10,backward,8,-0.0202189210689736,124
primary,1230001,1,log,10,backward,9,-0.018500900385484676,124
primary,1230001,1,log,10,backward,10,-0.0822047602593978,124
primary,1230001,1,log,20,forward,1,-0.03171841668993223,122
primary,1230001,1,log,20,forward,2,-0.07510958495567374,122
primary,1230001,1,log,20,forward,3,-0.014655048859886964,122
primary,1230001,1,log,20,forward,4,0.037135569498843446,122
primary,1230001,1,log,20,forward,5,-0.17709440703306364,122
primary,1230001,1,log,20,forward,6,0.037638567251320774,122
primary,1230001,1,log,20,forward,7,0.06407305846300307,122
primary,1230001,1,log,20,forward,8,-0.0442568619223221,122
primary,1230001,1,log,20,forward,9,0.10340749737483805,122
primary,1230001,1,log,20,forward,10,0.10057962687287565,122
primary,1230001,1,log,20,backward,1,0.24608917026332724,122
primary,1230001,1,log,20,backward,2,-0.11843535003290906,122
primary,1230001,1,log,20,backward,3,-0.07247283667056152,122
primary,1230001,1,log,20,backward,4,-0.04613656426021703,122
primary,1230001,1,log,20,backward,5,-0.040023675897812964,122
primary,1230001,1,log,20,backward,6,0.16347038471591624,122
primary,1230001,1,log,20,backward,7,-0.17790662398894544,122
primary,1230001,1,log,20,backward,8,-0.15749319626074745,122
primary,1230001,1,log,20,backward,9,0.19234689977461136,122
primary,1230001,1,log,20,backward,10,0.010561792357339587,122
primary,1230001,1,ito,5,forward,1,-0.11595832915201411,125
primary,1230001,1,ito,5,forward,2,-0.020052442498581926,125
primary,1230001,1,ito,5,forward,3,-0.12877198462410278,125
primary,1230001,1,ito,5,forward,4,-0.13403001567054823,125
primary,1230001,1,ito,5,forward,5,-0.13145236452798273,125
primary,1230001,1,ito,5,forward,6,-0.027961592460524376,125
primary,1230001,1,ito,5,forward,7,0.017121007084372905,125
primary,1230001,1,ito,5,forward,8,0.09270729154604845,125
primary,1230001,1,ito,5,forward,9,0.06435214025696091,125
primary,1230001,1,ito,5,forward,10,0.3840462900463727,125
primary,1230001,1,ito,5,backward,1,0.00011836358968587258,125
primary,1230001,1,ito,5,backward,2,-0.21091160695116598,125
primary,1230001,1,ito,5,backward,3,0.0001502818180643307,125
primary,1230001,1,ito,5,backward,4,-0.11973282635854078,125
primary,1230001,1,ito,5,backward,5,-0.14986333796197812,125
primary,1230001,1,ito,5,backward,6,0.07632339498299301,125
primary,1230001,1,ito,5,backward,7,-0.1519048915997261,125
primary,1230001,1,ito,5,backward,8,0.2889647597834984,125
primary,1230001,1,ito,5,backward,9,0.08931018878618016,125
primary,1230001,1,ito,5,backward,10,0.17754567391098888,125
primary,1230001,1,ito,10,forward,1,-0.015752527413475593,124
primary,1230001,1,ito,10,forward,2,-0.20933939087765854,124
primary,1230001,1,ito,10,forward,3,0.020069598953095385,124
primary,1230001,1,ito,10,forward,4,-0.10133558062385362,124
primary,1230001,1,ito,10,forward,5,-0.10284627971870289,124
primary,1230001,1,ito,10,forward,6,-0.025168129121639442,124
primary,1230001,1,ito,10,forward,7,-0.06595243323167496,124
primary,1230001,1,ito,10,forward,8,0.11497560550662499,124
primary,1230001,1,ito,10,forward,9,0.0870966282519427,124
primary,1230001,1,ito,10,forward,10,0.2982525082753405,124
primary,1230001,1,ito,10,backward,1,0.32940197046496733,124
