model,seed,path,return_type,window,method,forward,backward,zumbach,forward_count,backward_count
primary,1230001,1,log,5,gaussian_rank,0.12561404009682606,0.14451860426646906,-0.018904564169643007,1250,1250
primary,1230001,1,log,5,kendall,0.07590200160128102,0.11687942353883106,-0.04097742193755004,1250,1250
primary,1230001,1,log,5,winsor_995,0.15732394197525734,0.07557113218878808,0.08175280978646926,1250,1250
primary,1230001,1,log,5,winsor_990,0.16277393921153507,0.08331237117023754,0.07946156804129753,1250,1250
primary,1230001,1,log,5,winsor_975,0.1530915117086204,0.11510087918365267,0.03799063252496773,1250,1250
primary,1230001,1,log,5,winsor_950,0.13363369001557793,0.13947935620486,-0.005845666189282062,1250,1250
primary,1230001,1,log,5,trim_995,0.1255522202064587,0.06584837033936825,0.05970384986709046,1236,1236
primary,1230001,1,log,5,trim_990,0.10337869498619097,0.10621340118921906,-0.0028347062030280867,1224,1224
primary,1230001,1,log,5,trim_975,0.07533857263957597,0.14343765981957096,-0.068099087179995,1188,1186
primary,1230001,1,log,5,trim_950,0.04418156347175991,0.15048090936108363,-0.10629934588932372,1133,1130
primary,1230001,1,log,10,pearson,0.11559394696689712,-0.04120455060089307,0.15679849756779018,1240,1240
primary,1230001,1,log,10,spearman,0.12440102204591327,0.007496757250500881,0.1169042647954124,1240,1240
primary,1230001,1,log,10,gaussian_rank,0.11943652501529152,-0.011655653281460386,0.1310921782967519,1240,1240
primary,1230001,1,log,10,kendall,0.08136894998568045,0.0057903095628628705,0.07557864042281758,1240,1240
primary,1230001,1,log,10,winsor_995,0.1226520620126012,-0.027406669635669352,0.15005873164827055,1240,1240
primary,1230001,1,log,10,winsor_990,0.12245618770604799,-0.022595729871473784,0.14505191757752178,1240,1240
primary,1230001,1,log,10,winsor_975,0.1276147379316679,-0.0014618857796103973,0.1290766237112783,1240,1240
primary,1230001,1,log,10,winsor_950,0.13257361307062365,0.026326592183708246,0.1062470208869154,1240,1240
primary,1230001,1,log,10,trim_995,0.10021249606469311,0.004788145887255303,0.0954243501774378,1226,1226
primary,1230001,1,log,10,trim_990,0.09703987706707219,0.034080466375022996,0.06295941069204919,1214,1214
primary,1230001,1,log,10,trim_975,0.10679762048125355,0.08909970734090876,0.017697913140344787,1179,1178
primary,1230001,1,log,10,trim_950,0.11015161599612135,0.06106208622534897,0.049089529770772376,1118,1117
primary,1230001,1,log,20,pearson,0.06392496833056706,-0.002477749116224128,0.06640271744679119,1220,1220
primary,1230001,1,log,20,spearman,0.0803860664940023,0.05300342355977853,0.027382642934223773,1220,1220
primary,1230001,1,log,20,gaussian_rank,0.07776511217176454,0.03109721718169815,0.04666789499006639,1220,1220
primary,1230001,1,log,20,kendall,0.05346225742680779,0.036191987520004305,0.017270269906803484,1220,1220
primary,1230001,1,log,20,winsor_995,0.06476565426354627,0.0035177575262429926,0.061247896737303284,1220,1220
primary,1230001,1,log,20,winsor_990,0.06479645118741628,0.006067777681982559,0.058728673505433725,1220,1220
primary,1230001,1,log,20,winsor_975,0.07071287699021232,0.02112764578668748,0.04958523120352484,1220,1220
primary,1230001,1,log,20,winsor_950,0.07880285119316366,0.03117236536928439,0.04763048582387927,1220,1220
primary,1230001,1,log,20,trim_995,0.07346728868796829,0.020950566354386906,0.05251672233358138,1206,1206
primary,1230001,1,log,20,trim_990,0.05819177835047635,0.0283463602185556,0.029845418131920747,1194,1194
primary,1230001,1,log,20,trim_975,0.07192860913713141,0.08398614490379162,-0.012057535766660216,1158,1158
primary,1230001,1,log,20,trim_950,0.08376742158815594,0.047733851140303186,0.03603357044785275,1099,1100
primary,1230001,1,ito,5,pearson,0.15376029792795903,0.07551116825276714,0.07824912967519189,1250,1250
primary,1230001,1,ito,5,spearman,0.11139649599775746,0.17639447270046255,-0.06499797670270509,1250,1250
primary,1230001,1,ito,5,gaussian_rank,0.12132892441067375,0.1449049004480993,-0.02357597603742556,1250,1250
primary,1230001,1,ito,5,kendall,0.07479519615692554,0.11864467574059245,-0.04384947958366692,1250,1250
primary,1230001,1,ito,5,winsor_995,0.15595042632807796,0.0779181141649229,0.07803231216315505,1250,1250
primary,1230001,1,ito,5,winsor_990,0.1611603612781766,0.08611824889552853,0.07504211238264806,1250,1250
primary,1230001,1,ito,5,winsor_975,0.15098930280740747,0.11896126060423022,0.032028042203177245,1250,1250
primary,1230001,1,ito,5,winsor_950,0.13228544005761078,0.14205659068230395,-0.009771150624693165,1250,1250
primary,1230001,1,ito,5,trim_995,0.1241423130955394,0.06853283272663335,0.05560948036890605,1236,1236
primary,1230001,1,ito,5,trim_990,0.10184840744642108,0.10894380080327656,-0.007095393356855481,1224,1224
primary,1230001,1,ito,5,trim_975,0.07360766176521598,0.14703596677494696,-0.07342830500973098,1188,1186
primary,1230001,1,ito,5,trim_950,0.042991086873035614,0.15515652725810916,-0.11216544038507355,1133,1130
primary,1230001,1,ito,10,pearson,0.11366122837802696,-0.03706983501604491,0.15073106339407188,1240,1240
primary,1230001,1,ito,10,spearman,0.12318788222165146,0.010505010440555112,0.11268287178109634,1240,1240
primary,1230001,1,ito,10,gaussian_rank,0.11871286490727237,-0.011203461099733279,0.12991632600700564,1240,1240
primary,1230001,1,ito,10,kendall,0.08040563409617538,0.008089249915384416,0.07231638418079096,1240,1240
primary,1230001,1,ito,10,winsor_995,0.12005388475070264,-0.022448161572305905,0.14250204632300856,1240,1240
primary,1230001,1,ito,10,winsor_990,0.1198038664360498,-0.017515897702337763,0.13731976413838756,1240,1240
primary,1230001,1,ito,10,winsor_975,0.12475926776548076,0.004103854231337325,0.12065541353414343,1240,1240
primary,1230001,1,ito,10,winsor_950,0.12989485898145137,0.02986768525294833,0.10002717372850303,1240,1240
primary,1230001,1,ito,10,trim_995,0.09771113203267984,0.009825488935259225,0.08788564309742061,1226,1226
primary,1230001,1,ito,10,trim_990,0.10679782393519088,0.03570937975217566,0.07108844418301521,1214,1214
primary,1230001,1,ito,10,trim_975,0.10421429204590082,0.09467692196080442,0.009537370085096405,1179,1178
primary,1230001,1,ito,10,trim_950,0.10370680958537608,0.06292736670322928,0.0407794428821468,1118,1117
primary,1230001,1,ito,20,pearson,0.06256917456483424,0.005691419771139953,0.056877754793694286,1220,1220
primary,1230001,1,ito,20,spearman,0.08126521335682296,0.05963558885733739,0.02162962449948557,1220,1220
primary,1230001,1,ito,20,gaussian_rank,0.07810236498435921,0.04022423849845299,0.03787812648590622,1220,1220
primary,1230001,1,ito,20,kendall,0.053594050484810175,0.04101722723543889,0.012576823249371288,1220,1220
primary,1230001,1,ito,20,winsor_995,0.063507426724985,0.010987574133200865,0.05251985259178413,1220,1220
primary,1230001,1,ito,20,winsor_990,0.06382210641579857,0.013414034332486646,0.05040807208331192,1220,1220
primary,1230001,1,ito,20,winsor_975,0.07081331371002603,0.025372435378772117,0.04544087833125391,1220,1220
primary,1230001,1,ito,20,winsor_950,0.07935910803819736,0.03655928461089089,0.04279982342730647,1220,1220
primary,1230001,1,ito,20,trim_995,0.07595982024836383,0.019695869109289138,0.05626395113907469,1206,1206
primary,1230001,1,ito,20,trim_990,0.0654487283219415,0.029140268554862594,0.0363084597670789,1194,1194
primary,1230001,1,ito,20,trim_975,0.07547368283322912,0.07741444336834628,-0.0019407605351171586,1158,1158
primary,1230001,1,ito,20,trim_950,0.09320858280162926,0.05123827539371651,0.04197030740791275,1099,1100
primary,1230001,2,log,5,pearson,0.35983497812192233,0.19199495325165353,0.1678400248702688,1250,1250
primary,1230001,2,log,5,spearman,0.16909166047466273,0.20492845576221172,-0.03583679528754899,1250,1250
primary,1230001,2,log,5,gaussian_rank,0.1966904678374135,0.21242732679317872,-0.01573685895576521,1250,1250
primary,1230001,2,log,5,kendall,0.11437630104083266,0.13747061649319456,-0.023094315452361902,1250,1250
primary,1230001,2,log,5,winsor_995,0.3785728315628097,0.2206137136120971,0.15795911795071257,1250,1250
primary,1230001,2,log,5,winsor_990,0.35768672117742967,0.23330528088183447,0.1243814402955952,1250,1250
primary,1230001,2,log,5,winsor_975,0.2914016847751004,0.24915367456445023,0.042248010210650194,1250,1250
primary,1230001,2,log,5,winsor_950,0.2409016670267548,0.24048393547575292,0.0004177315510018875,1250,1250
primary,1230001,2,log,5,trim_995,0.23584252723073543,0.19874905868659776,0.03709346854413767,1236,1236
primary,1230001,2,log,5,trim_990,0.17884579106794946,0.207826841555262,-0.028981050487312532,1227,1226
primary,1230001,2,log,5,trim_975,0.1311994541188073,0.1958347549573621,-0.06463530083855482,1196,1192
primary,1230001,2,log,5,trim_950,0.10069356511794575,0.15168672429577834,-0.05099315917783259,1142,1137
primary,1230001,2,log,10,pearson,0.22863825389273104,0.07312976782881776,0.15550848606391326,1240,1240
primary,1230001,2,log,10,spearman,0.10949258153196494,0.11359206894183936,-0.004099487409874425,1240,1240
primary,1230001,2,log,10,gaussian_rank,0.12518857593219526,0.1076609501396335,0.017527625792561757,1240,1240
primary,1230001,2,log,10,kendall,0.07208206409956,0.07464917076726808,-0.002567106667708083,1240,1240
primary,1230001,2,log,10,winsor_995,0.24404882752160756,0.09538661091761566,0.1486622166039919,1240,1240
primary,1230001,2,log,10,winsor_990,0.24472552243229478,0.09989288609584847,0.14483263633644633,1240,1240
primary,1230001,2,log,10,winsor_975,0.2362647876730137,0.11879161885471201,0.1174731688183017,1240,1240
primary,1230001,2,log,10,winsor_950,0.1882762918074779,0.12404252081438251,0.0642337709930954,1240,1240
primary,1230001,2,log,10,trim_995,0.16635533075314995,0.10072943264518423,0.06562589810796572,1226,1226
primary,1230001,2,log,10,trim_990,0.17334015519624446,0.09615592121405754,0.07718423398218692,1214,1214
primary,1230001,2,log,10,trim_975,0.08748799363699174,0.10985623745095655,-0.022368243813964808,1184,1179
primary,1230001,2,log,10,trim_950,0.023275719895174633,0.06360458950799024,-0.04032886961281561,1130,1122
primary,1230001,2,log,20,pearson,0.10244812540417202,0.06895631357306423,0.03349181183110779,1220,1220
primary,1230001,2,log,20,spearman,0.198265899945589,0.14807585472602483,0.05019004521956416,1220,1220
primary,1230001,2,log,20,gaussian_rank,0.1842474036324065,0.137076162487674,0.04717124114473248,1220,1220
primary,1230001,2,log,20,kendall,0.13077367904355897,0.09564679460455358,0.035126884439005385,1220,1220
primary,1230001,2,log,20,winsor_995,0.1042549916402884,0.07201244375614714,0.03224254788414126,1220,1220
primary,1230001,2,log,20,winsor_990,0.11255553022107564,0.0792372335981173,0.03331829662295835,1220,1220
primary,1230001,2,log,20,winsor_975,0.14301063953631932,0.10240314257727598,0.04060749695904334,1220,1220
primary,1230001,2,log,20,winsor_950,0.1794937790437836,0.13888211419574298,0.04061166484804063,1220,1220
primary,1230001,2,log,20,trim_995,0.12075906933624125,0.09415605782258096,0.02660301151366029,1206,1206
primary,1230001,2,log,20,trim_990,0.14806544412864991,0.11010746903233368,0.03795797509631624,1194,1194
primary,1230001,2,log,20,trim_975,0.2229485247907897,0.1212475771514253,0.1017009476393644,1158,1158
primary,1230001,2,log,20,trim_950,0.20681974412220738,0.15923355850533363,0.04758618561687375,1104,1098
primary,1230001,2,ito,5,pearson,0.356387272158899,0.19411513373934333,0.16227213841955565,1250,1250
primary,1230001,2,ito,5,spearman,0.16546785937143002,0.20671692001082886,-0.041249060639398843,1250,1250
primary,1230001,2,ito,5,gaussian_rank,0.19403423114929078,0.21309370333769917,-0.019059472188408394,1250,1250
primary,1230001,2,ito,5,kendall,0.11208839071257005,0.1389591673338671,-0.02687077662129704,1250,1250
