model,seed,path,return_type,window,direction,positive_covariance_share_tail_950,positive_covariance_share_tail_975,positive_covariance_share_tail_990,positive_covariance_share_tail_995
primary,1270009,1,log,5,forward,0.5528441448428542,0.4349289568233467,0.24071058481757926,0.16033801618965204
primary,1270009,1,log,5,backward,0.4906690973718928,0.36618134221577564,0.17745235503631732,0.05885795728054483
primary,1270009,1,log,10,forward,0.5457858211590553,0.4370841185265606,0.31944386829666466,0.23774315207214386
primary,1270009,1,log,10,backward,0.40371745039385754,0.26948813831100277,0.15880440370952556,0.08730680552358967
primary,1270009,1,log,20,forward,0.6409353382082545,0.621977971380483,0.5329531580025392,0.28976908934693796
primary,1270009,1,log,20,backward,0.36294862420952256,0.31596538832203247,0.22176827804716998,0.12594622357235777
primary,1270009,1,ito,5,forward,0.5521831051858536,0.4345757051677444,0.23805973177379752,0.15808353125432337
primary,1270009,1,ito,5,backward,0.48659055351680325,0.36513656141560624,0.17602396530679792,0.058524980621908085
primary,1270009,1,ito,10,forward,0.5464286365057628,0.4315424712540805,0.31758661948689115,0.23628912741829458
primary,1270009,1,ito,10,backward,0.404148268702548,0.25345040470016483,0.15841568772046094,0.08936959640845285
primary,1270009,1,ito,20,forward,0.6389461468789835,0.620058831997787,0.5163379411113265,0.293987077064094
primary,1270009,1,ito,20,backward,0.3390281330386196,0.30294253062706483,0.20376328464833915,0.09743700954303804
primary,1270009,2,log,5,forward,0.7039834081541587,0.57215608127139,0.3216897927263153,0.17122250798649044
primary,1270009,2,log,5,backward,0.43404048576312715,0.3008156254763696,0.17272531083851486,0.14426443623300175
primary,1270009,2,log,10,forward,0.5698911501793626,0.33311896066267316,0.12951761992114993,0.07386776430244579
primary,1270009,2,log,10,backward,0.30289353722614254,0.21835909503072845,0.16139325743356553,0.1365425463702821
primary,1270009,2,log,20,forward,0.29887482903984625,0.1906111663503978,0.11278071036914789,0.06914180960008108
primary,1270009,2,log,20,backward,0.3556962388293155,0.305659750059995,0.25337633743126226,0.15995572903718433
primary,1270009,2,ito,5,forward,0.7040279348752295,0.5717103510212876,0.33546701416057584,0.171319158352979
primary,1270009,2,ito,5,backward,0.43849225399533487,0.29996101018972726,0.1784609903309387,0.14128007198130166
primary,1270009,2,ito,10,forward,0.5682482926318198,0.3325317562674733,0.1296025589883591,0.07397324582563135
primary,1270009,2,ito,10,backward,0.30967392393465193,0.22479316696549564,0.16328770134688486,0.13817698654052693
primary,1270009,2,ito,20,forward,0.3075212164409801,0.19118977548170255,0.11259477722572363,0.06872665691460553
primary,1270009,2,ito,20,backward,0.3587828994895289,0.3082974404327742,0.2596194902594461,0.16543668369605813
primary,1270009,3,log,5,forward,0.7294601373062027,0.6671642883208929,0.4923828558986292,0.37907492444843327
primary,1270009,3,log,5,backward,0.6368691021893752,0.5329878912473385,0.42064846831716307,0.29814324109759766
primary,1270009,3,log,10,forward,0.7324336255073636,0.6452794171360305,0.5686794378253155,0.5370300163070202
primary,1270009,3,log,10,backward,0.49442557826315936,0.36963063050287615,0.22235559996554546,0.1601381763274114
primary,1270009,3,log,20,forward,0.4944990717249593,0.4461000181711812,0.3183485899693871,0.2011670536728757
primary,1270009,3,log,20,backward,0.49944840589532247,0.4273245403432968,0.2867148122562787,0.1572635290357233
primary,1270009,3,ito,5,forward,0.7298818719711391,0.6642024124442298,0.4882478773435935,0.37684692254676494
primary,1270009,3,ito,5,backward,0.6352976410648178,0.5322421348615113,0.379314284015012,0.2976707448523295
primary,1270009,3,ito,10,forward,0.728154655787145,0.6436031197188581,0.5685965534582414,0.5376571934261946
primary,1270009,3,ito,10,backward,0.4954972912923576,0.37095117316398674,0.22472651519748824,0.1654982575860566
primary,1270009,3,ito,20,forward,0.4890843002169706,0.4403677780584834,0.3156161188268026,0.2000680888629135
primary,1270009,3,ito,20,backward,0.516401808940176,0.4402123009794636,0.2967324257186209,0.16292469081258462
primary,1270009,4,log,5,forward,0.6960797079930237,0.6101026837863868,0.46106269419565005,0.4025800279465281
primary,1270009,4,log,5,backward,0.5424935247433221,0.3741034953974575,0.22852276884626258,0.1206778042180931
primary,1270009,4,log,10,forward,0.7111988651146129,0.6669545272265476,0.5400466633205669,0.3170270882319688
primary,1270009,4,log,10,backward,0.48671430429376356,0.34533740819105446,0.21886839767712055,0.03701605720076978
primary,1270009,4,log,20,forward,0.7638793223988453,0.6666107344409188,0.37924941065772755,0.21855708819622818
