parameter_class,variant,parameter,metric,spearman,pvalue,sample_count
readout,M2,cluster_loading,rough_hurst,0.1378299120234604,0.45189194646303127,32
readout,M2,feedback_curvature,rough_hurst,-0.69391495601173,1.06132878095171e-05,32
readout,M2,feedback_shift,rough_hurst,-0.4270527859237536,0.014781084460929194,32
readout,M2,spike_curvature,rough_hurst,0.5117302052785924,0.002756116217732599,32
readout,M2,cap_level,zumbach_rank,0.09164222873900292,0.6178968206808657,32
readout,M2,cap_sharpness,zumbach_rank,-0.019061583577712607,0.9175282438865933,32
readout,M2,cluster_loading,zumbach_rank,-0.07111436950146627,0.6989274391699126,32
readout,M2,feedback_curvature,zumbach_rank,-0.8819648093841641,2.5695463830853486e-11,32
readout,M2,feedback_shift,zumbach_rank,-0.3980938416422287,0.024036225101602166,32
readout,M2,spike_curvature,zumbach_rank,0.022727272727272724,0.9017384625624244,32
readout,M2+O,cap_level,accepted,0.1987930596274127,0.2753899894530668,32
readout,M2+O,cap_sharpness,accepted,-0.08413648166803359,0.6470781277050462,32
readout,M2+O,cluster_loading,accepted,-0.12971040923821844,0.4792199591804523,32
readout,M2+O,feedback_curvature,accepted,-0.3544867940866415,0.046516678166351993,32
readout,M2+O,feedback_shift,accepted,-0.4604822636390171,0.00799942374853248,32
readout,M2+O,orthogonal_curvature,accepted,0.02165277101750864,0.9063632757913657,32
readout,M2+O,spike_curvature,accepted,0.16786052960240033,0.3584499043851482,32
readout,M2+O,cap_level,distance,-0.05535190615835778,0.7634978368884071,32
readout,M2+O,cap_sharpness,distance,0.04582111436950146,0.8033442479325562,32
readout,M2+O,cluster_loading,distance,-0.08760997067448678,0.6335062181554587,32
readout,M2+O,feedback_curvature,distance,0.6140029325513195,0.00018565784950227995,32
readout,M2+O,feedback_shift,distance,0.4461143695014662,0.010491152861815203,32
readout,M2+O,orthogonal_curvature,distance,-0.26759530791788855,0.13869246028698645,32
readout,M2+O,spike_curvature,distance,-0.3640029325513196,0.040555248912806825,32
readout,M2+O,cap_level,excess_kurtosis,-0.1821847507331378,0.31829211260251494,32
readout,M2+O,cap_sharpness,excess_kurtosis,0.03189149560117301,0.8624378009547493,32
readout,M2+O,cluster_loading,excess_kurtosis,0.08027859237536657,0.662283474337387,32
readout,M2+O,feedback_curvature,excess_kurtosis,0.6825513196480938,1.681985070657309e-05,32
readout,M2+O,feedback_shift,excess_kurtosis,0.2441348973607038,0.1781189333807734,32
readout,M2+O,orthogonal_curvature,excess_kurtosis,0.09420821114369501,0.6080475773626955,32
readout,M2+O,spike_curvature,excess_kurtosis,0.629398826979472,0.00011378317304647569,32
readout,M2+O,cap_level,leverage_rank,0.0439882697947214,0.8110663178967121,32
readout,M2+O,cap_sharpness,leverage_rank,0.016129032258064516,0.9301826237960704,32
readout,M2+O,cluster_loading,leverage_rank,0.3793988269794721,0.03222437622068701,32
readout,M2+O,feedback_curvature,leverage_rank,-0.4233870967741935,0.015754834326364178,32
readout,M2+O,feedback_shift,leverage_rank,-0.3720674486803519,0.03599865863175571,32
readout,M2+O,orthogonal_curvature,leverage_rank,0.43804985337243396,0.012156566339059918,32
readout,M2+O,spike_curvature,leverage_rank,0.597140762463343,0.0003085012521985039,32
readout,M2+O,cap_level,rough_hurst,0.043621700879765385,0.8126128523247663,32
readout,M2+O,cap_sharpness,rough_hurst,-0.009897360703812315,0.9571250985891425,32
readout,M2+O,cluster_loading,rough_hurst,0.1598240469208211,0.3822452161811061,32
readout,M2+O,feedback_curvature,rough_hurst,-0.7060117302052785,6.351203738524092e-06,32
readout,M2+O,feedback_shift,rough_hurst,-0.375366568914956,0.03425824881982931,32
readout,M2+O,orthogonal_curvature,rough_hurst,0.3082844574780058,0.08604675928525916,32
readout,M2+O,spike_curvature,rough_hurst,0.4670087976539589,0.007045652389442195,32
readout,M2+O,cap_level,zumbach_rank,0.13269794721407624,0.46906647012706415,32
readout,M2+O,cap_sharpness,zumbach_rank,-0.020894428152492667,0.9096291185775632,32
readout,M2+O,cluster_loading,zumbach_rank,-0.08174486803519061,0.6564883574752143,32
readout,M2+O,feedback_curvature,zumbach_rank,-0.8570381231671553,3.824671846326258e-10,32
readout,M2+O,feedback_shift,zumbach_rank,-0.376099706744868,0.033880909874700216,32
readout,M2+O,orthogonal_curvature,zumbach_rank,-0.17008797653958943,0.35201472071702544,32
readout,M2+O,spike_curvature,zumbach_rank,0.01063049853372434,0.9539524130325878,32
readout,M3,cap_level,accepted,0.15087382977513342,0.4097981587068153,32
readout,M3,cap_sharpness,accepted,-0.08343626559376505,0.6498277951378862,32
readout,M3,cluster_loading,accepted,-0.0002025152077518569,0.999122312736424,32
readout,M3,feedback_curvature,accepted,-0.5868890720648814,0.0004144326767421568,32
readout,M3,feedback_shift,accepted,-0.28190116919058483,0.11802404817866202,32
readout,M3,spike_curvature,accepted,0.3153161784696412,0.07876653761984273,32
readout,M3,cap_level,distance,-0.08577712609970674,0.6406534372860643,32
readout,M3,cap_sharpness,distance,0.0018328445747800585,0.9920566981279082,32
readout,M3,cluster_loading,distance,-0.12646627565982405,0.49037307554095183,32
readout,M3,feedback_curvature,distance,0.7115102639296187,4.986816124182018e-06,32
readout,M3,feedback_shift,distance,0.4087243401759531,0.02020122113027062,32
readout,M3,spike_curvature,distance,-0.4556451612903225,0.008775139039326144,32
readout,M3,cap_level,excess_kurtosis,-0.12866568914956011,0.48279722341584874,32
readout,M3,cap_sharpness,excess_kurtosis,0.027126099706744865,0.8828398261247812,32
readout,M3,cluster_loading,excess_kurtosis,0.07734604105571846,0.673931181637811,32
readout,M3,feedback_curvature,excess_kurtosis,0.6924486803519061,1.127601047910165e-05,32
readout,M3,feedback_shift,excess_kurtosis,0.2686950146627566,0.13701568586353766,32
readout,M3,spike_curvature,excess_kurtosis,0.627932551319648,0.00011934842765554692,32
readout,M3,cap_level,leverage_rank,0.06341642228739001,0.7302356188327076,32
readout,M3,cap_sharpness,leverage_rank,0.01539589442815249,0.9333489581314992,32
readout,M3,cluster_loading,leverage_rank,0.4395161290322581,0.011838241480749271,32
readout,M3,feedback_curvature,leverage_rank,-0.48497067448680353,0.004904960786989911,32
readout,M3,feedback_shift,leverage_rank,-0.3119501466275659,0.08218978030286805,32
readout,M3,spike_curvature,leverage_rank,0.6726539589442815,2.471682238247729e-05,32
readout,M3,cap_level,rough_hurst,0.059384164222873896,0.7468107794541506,32
readout,M3,cap_sharpness,rough_hurst,0.03115835777126099,0.865571245718104,32
readout,M3,cluster_loading,rough_hurst,0.1378299120234604,0.45189194646303127,32
readout,M3,feedback_curvature,rough_hurst,-0.69391495601173,1.06132878095171e-05,32
readout,M3,feedback_shift,rough_hurst,-0.4270527859237536,0.014781084460929194,32
readout,M3,spike_curvature,rough_hurst,0.5117302052785924,0.002756116217732599,32
readout,M3,cap_level,zumbach_rank,0.09164222873900292,0.6178968206808657,32
readout,M3,cap_sharpness,zumbach_rank,-0.019061583577712607,0.9175282438865933,32
readout,M3,cluster_loading,zumbach_rank,-0.07111436950146627,0.6989274391699126,32
readout,M3,feedback_curvature,zumbach_rank,-0.8819648093841641,2.5695463830853486e-11,32
readout,M3,feedback_shift,zumbach_rank,-0.3980938416422287,0.024036225101602166,32
readout,M3,spike_curvature,zumbach_rank,0.022727272727272724,0.9017384625624244,32
readout,M4,cap_level,accepted,0.1987930596274127,0.2753899894530668,32
readout,M4,cap_sharpness,accepted,-0.08413648166803359,0.6470781277050462,32
readout,M4,cluster_loading,accepted,-0.12971040923821844,0.4792199591804523,32
readout,M4,feedback_curvature,accepted,-0.3544867940866415,0.046516678166351993,32
readout,M4,feedback_shift,accepted,-0.4604822636390171,0.00799942374853248,32
readout,M4,orthogonal_curvature,accepted,0.02165277101750864,0.9063632757913657,32
readout,M4,spike_curvature,accepted,0.16786052960240033,0.3584499043851482,32
readout,M4,cap_level,distance,-0.05535190615835778,0.7634978368884071,32
readout,M4,cap_sharpness,distance,0.04582111436950146,0.8033442479325562,32
readout,M4,cluster_loading,distance,-0.08760997067448678,0.6335062181554587,32
readout,M4,feedback_curvature,distance,0.6140029325513195,0.00018565784950227995,32
readout,M4,feedback_shift,distance,0.4461143695014662,0.010491152861815203,32
readout,M4,orthogonal_curvature,distance,-0.26759530791788855,0.13869246028698645,32
readout,M4,spike_curvature,distance,-0.3640029325513196,0.040555248912806825,32
readout,M4,cap_level,excess_kurtosis,-0.1821847507331378,0.31829211260251494,32
readout,M4,cap_sharpness,excess_kurtosis,0.03189149560117301,0.8624378009547493,32
readout,M4,cluster_loading,excess_kurtosis,0.08027859237536657,0.662283474337387,32
readout,M4,feedback_curvature,excess_kurtosis,0.6825513196480938,1.681985070657309e-05,32
readout,M4,feedback_shift,excess_kurtosis,0.2441348973607038,0.1781189333807734,32
readout,M4,orthogonal_curvature,excess_kurtosis,0.09420821114369501,0.6080475773626955,32
readout,M4,spike_curvature,excess_kurtosis,0.629398826979472,0.00011378317304647569,32
readout,M4,cap_level,leverage_rank,0.0439882697947214,0.8110663178967121,32
readout,M4,cap_sharpness,leverage_rank,0.016129032258064516,0.9301826237960704,32
readout,M4,cluster_loading,leverage_rank,0.3793988269794721,0.03222437622068701,32
readout,M4,feedback_curvature,leverage_rank,-0.4233870967741935,0.015754834326364178,32
readout,M4,feedback_shift,leverage_rank,-0.3720674486803519,0.03599865863175571,32
readout,M4,orthogonal_curvature,leverage_rank,0.43804985337243396,0.012156566339059918,32
readout,M4,spike_curvature,leverage_rank,0.597140762463343,0.0003085012521985039,32
readout,M4,cap_level,rough_hurst,0.043621700879765385,0.8126128523247663,32
readout,M4,cap_sharpness,rough_hurst,-0.009897360703812315,0.9571250985891425,32
readout,M4,cluster_loading,rough_hurst,0.1598240469208211,0.3822452161811061,32
readout,M4,feedback_curvature,rough_hurst,-0.7060117302052785,6.351203738524092e-06,32
readout,M4,feedback_shift,rough_hurst,-0.375366568914956,0.03425824881982931,32
readout,M4,orthogonal_curvature,rough_hurst,0.3082844574780058,0.08604675928525916,32
readout,M4,spike_curvature,rough_hurst,0.4670087976539589,0.007045652389442195,32
readout,M4,cap_level,zumbach_rank,0.13269794721407624,0.46906647012706415,32
readout,M4,cap_sharpness,zumbach_rank,-0.020894428152492667,0.9096291185775632,32
readout,M4,cluster_loading,zumbach_rank,-0.08174486803519061,0.6564883574752143,32
readout,M4,feedback_curvature,zumbach_rank,-0.8570381231671553,3.824671846326258e-10,32
readout,M4,feedback_shift,zumbach_rank,-0.376099706744868,0.033880909874700216,32
readout,M4,orthogonal_curvature,zumbach_rank,-0.17008797653958943,0.35201472071702544,32
readout,M4,spike_curvature,zumbach_rank,0.01063049853372434,0.9539524130325878,32
structural,M2,feedback_asset_correlation,accepted,-0.19999999999999998,0.8,4
structural,M2,spike_asset_correlation,accepted,1.0,0.0,4
structural,M2,feedback_asset_correlation,distance,0.7999999999999999,0.2000000000000001,4
structural,M2,spike_asset_correlation,distance,0.39999999999999997,0.6,4
structural,M2,feedback_asset_correlation,excess_kurtosis,0.39999999999999997,0.6,4
structural,M2,spike_asset_correlation,excess_kurtosis,0.7999999999999999,0.2000000000000001,4
structural,M2,feedback_asset_correlation,leverage_rank,-1.0,0.0,4
structural,M2,spike_asset_correlation,leverage_rank,0.19999999999999998,0.8,4
structural,M2,feedback_asset_correlation,rough_hurst,-0.19999999999999998,0.8,4
structural,M2,spike_asset_correlation,rough_hurst,1.0,0.0,4
structural,M2,feedback_asset_correlation,zumbach_rank,-0.19999999999999998,0.8,4
structural,M2,spike_asset_correlation,zumbach_rank,1.0,0.0,4
structural,M2+O,feedback_asset_correlation,accepted,0.39999999999999997,0.6,4
structural,M2+O,spike_asset_correlation,accepted,0.7999999999999999,0.2000000000000001,4
structural,M2+O,feedback_asset_correlation,distance,0.7999999999999999,0.2000000000000001,4
structural,M2+O,spike_asset_correlation,distance,0.39999999999999997,0.6,4
structural,M2+O,feedback_asset_correlation,excess_kurtosis,0.39999999999999997,0.6,4
structural,M2+O,spike_asset_correlation,excess_kurtosis,0.7999999999999999,0.2000000000000001,4
structural,M2+O,feedback_asset_correlation,leverage_rank,-1.0,0.0,4
structural,M2+O,spike_asset_correlation,leverage_rank,0.19999999999999998,0.8,4
structural,M2+O,feedback_asset_correlation,rough_hurst,-0.19999999999999998,0.8,4
structural,M2+O,spike_asset_correlation,rough_hurst,1.0,0.0,4
structural,M2+O,feedback_asset_correlation,zumbach_rank,-0.19999999999999998,0.8,4
structural,M2+O,spike_asset_correlation,zumbach_rank,1.0,0.0,4
structural,M3,feedback_asset_correlation,accepted,-0.19999999999999998,0.8,4
structural,M3,spike_asset_correlation,accepted,1.0,0.0,4
structural,M3,feedback_asset_correlation,distance,0.7999999999999999,0.2000000000000001,4
structural,M3,spike_asset_correlation,distance,0.39999999999999997,0.6,4
structural,M3,feedback_asset_correlation,excess_kurtosis,0.39999999999999997,0.6,4
structural,M3,spike_asset_correlation,excess_kurtosis,0.7999999999999999,0.2000000000000001,4
structural,M3,feedback_asset_correlation,leverage_rank,-1.0,0.0,4
structural,M3,spike_asset_correlation,leverage_rank,0.19999999999999998,0.8,4
structural,M3,feedback_asset_correlation,rough_hurst,-0.19999999999999998,0.8,4
structural,M3,spike_asset_correlation,rough_hurst,1.0,0.0,4
structural,M3,feedback_asset_correlation,zumbach_rank,-0.19999999999999998,0.8,4
structural,M3,spike_asset_correlation,zumbach_rank,1.0,0.0,4
structural,M4,feedback_asset_correlation,accepted,0.39999999999999997,0.6,4
structural,M4,spike_asset_correlation,accepted,0.7999999999999999,0.2000000000000001,4
structural,M4,feedback_asset_correlation,distance,0.7999999999999999,0.2000000000000001,4
structural,M4,spike_asset_correlation,distance,0.39999999999999997,0.6,4
structural,M4,feedback_asset_correlation,excess_kurtosis,0.39999999999999997,0.6,4
structural,M4,spike_asset_correlation,excess_kurtosis,0.7999999999999999,0.2000000000000001,4
structural,M4,feedback_asset_correlation,leverage_rank,-1.0,0.0,4
structural,M4,spike_asset_correlation,leverage_rank,0.19999999999999998,0.8,4
structural,M4,feedback_asset_correlation,rough_hurst,-0.19999999999999998,0.8,4
structural,M4,spike_asset_correlation,rough_hurst,1.0,0.0,4
structural,M4,feedback_asset_correlation,zumbach_rank,-0.19999999999999998,0.8,4
structural,M4,spike_asset_correlation,zumbach_rank,1.0,0.0,4
