variant,metric,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max,pooled_q10,pooled_median,pooled_q90
M2+O,zumbach,5,0.16196166385389357,0.022199760672040422,0.00992803478938176,0.13439702025868117,0.18952630744910598,0.13281258426347836,0.19231491183045735,0.12940098156335977,0.16189163458695388,0.19560946239857963
M2+O,zumbach_rank,5,0.03952570032755942,0.011000905907095068,0.004919754684468711,0.025866271515092354,0.05318512914002649,0.02775772486008974,0.05275181281572364,0.021420849699098465,0.03915324878645465,0.05793119039827087
M2+O,excess_kurtosis,5,9.903662198984875,1.4043311781583017,0.6280359954568661,8.159954733510636,11.647369664459115,8.437549075788722,12.111271651693647,7.702629472494986,9.795441004166072,12.28239143413056
M2+O,absolute_return_tail_ratio,5,3.673593122926257,0.053801875098955544,0.024060930007643564,3.6067892715800283,3.740396974272486,3.5995120772941602,3.723644608359276,3.5453041921493953,3.676322983404197,3.799629769841861
M2+O,hill_tail_index,5,2.838725345878758,0.06784331769325262,0.030340454036245416,2.7544867407803455,2.92296395097717,2.745954912110288,2.924567543615133,2.6977684838983396,2.831760812539831,2.9921844734216583
M2+O,hill_threshold_instability,5,0.4108791542890752,0.05015952346782032,0.022432020838608444,0.34859787983202584,0.4731604287461245,0.36163421216589786,0.49429498152810947,0.3526095762866169,0.40299428666783876,0.49269163152078577
M2+O,taylor_gap,5,0.030757055192691764,0.005286212328495849,0.0023640660220028333,0.02419335565753758,0.03732075472784595,0.026706686411178845,0.039474132664252384,0.02328278434523353,0.029641868295718944,0.03912066655359195
M2+O,taylor_fraction,5,0.8752799479166666,0.027879095368737686,0.012467910479139406,0.8406634788948157,0.9098964169385175,0.8526204427083334,0.9171549479166667,0.8270833333333334,0.8729166666666667,0.9208333333333333
M2+O,mean_volatility,5,0.15231673756443317,0.0029853097013644993,0.0013350710852281233,0.14860998598476044,0.1560234891441059,0.14825494199466632,0.15641575572036065,0.1450591422015809,0.15226052400967735,0.15977791558121313
M2+O,q995_volatility,5,0.5971355074570812,0.00986437829426212,0.0044114840843487045,0.5848872640644333,0.6093837508497292,0.5842976437390772,0.6074279721243376,0.574932472559004,0.5979672417059021,0.6181490278972693
M2+O,q_forward_mean_max_error,5,2.0860049798621106e-17,4.5355430920001225e-20,2.028356533718371e-20,2.0803733592924722e-17,2.091636600431749e-17,2.0816681711721685e-17,2.0925101928970236e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17
M2+O,p_cap_exceedance_fraction,5,9.744095844356261e-05,4.0908539992096463e-05,1.829485525651928e-05,4.6646297116297535e-05,0.00014823561977082768,5.67293251212522e-05,0.00014176948991402117,1.3778659611992945e-05,5.511463844797178e-05,0.00026179453262786595
M2+O,q_cap_exceedance_fraction,5,0.00014553709215167545,5.746475056979759e-05,2.5699017716827435e-05,7.418518020339854e-05,0.00021688900409995237,8.891541280864196e-05,0.0002087251639660494,1.3778659611992945e-05,8.267195767195767e-05,0.00038580246913580245
M4,acceptance_rate,5,0.646875,0.3357284960304606,0.15014234782157565,0.2300130133078817,1.0637369866921182,0.0546875,0.875,0.0,1.0,1.0
