structural_scenario_id,candidate_id,variant,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,max_abs_return_acf,mean_log_variance_acf,p_cap_exceedance_fraction,passes_majority,passes_80pct,passes_all_seeds
3,20,M2,0.8,0.0007540207705191528,0.07492251814469518,-0.017755900188092866,0.04132052910893106,8.010125851189198,0.07260263331394948,0.2501311063369417,1.9290123456790123e-05,True,True,False
1,3,M2,0.8,0.0007585983328529109,0.07730487501144072,-0.014558602679958205,0.0357935660981217,12.085493910589815,0.0791880030008947,0.21136166764505676,0.00010196208112874779,True,True,False
0,9,M2,0.8,0.0007598928421423489,0.07801059993338334,-0.016588985372501613,0.04448187815552071,10.492913557662046,0.07703356834533477,0.19474621933771588,0.0001240079365079365,True,True,False
2,3,M2,0.8,0.0007870956480965577,0.07708849432830847,-0.01459731770476148,0.03151111493541912,12.052863890157374,0.07906588487090796,0.21219688265204728,8.818342151675484e-05,True,True,False
0,24,M2,0.8,0.0008269320784549218,0.07748340067461165,-0.016375752920537993,0.0383355336868165,11.404057683974456,0.07857325194969811,0.20082237960422647,0.00035824514991181656,True,True,False
2,27,M2,0.8,0.0008485247098919555,0.07603678390146264,-0.016435489130607835,0.04126705438473029,9.373910352456518,0.07464235175627636,0.23012866167306162,4.1335978835978834e-05,True,True,False
1,27,M2,0.8,0.0008534588222449985,0.07625724395939562,-0.016222569911233817,0.04549950730383717,9.4123938464702,0.07493535668570156,0.2294764036943932,4.96031746031746e-05,True,True,False
3,10,M2,0.8,0.0008564784402188121,0.07587473322874598,-0.017732265411549673,0.04016206282430017,9.5509688126379,0.07480277454858689,0.20943659992695335,0.00018187830687830687,True,True,False
2,20,M2,0.8,0.0008751250733326143,0.07497900531328604,-0.0177375341198533,0.04327242708340022,8.081380557186458,0.07269787117409789,0.24950013205070612,1.9290123456790123e-05,True,True,False
0,3,M2,0.8,0.0008979742880367063,0.07720759077210805,-0.014793511186164307,0.033572499636388656,12.151609714672146,0.07959086290278555,0.2113444796782611,9.645061728395061e-05,True,True,False
1,20,M2,0.8,0.0009135742942271545,0.07519599876343665,-0.01746161146640912,0.04731530668718183,8.125281046660898,0.072719625006282,0.2489694416752543,1.9290123456790123e-05,True,True,False
0,27,M2,0.8,0.0009583363607853539,0.07618460031541703,-0.01651005148141191,0.043355000727499635,9.473902083897311,0.07522994585755742,0.2293664858711006,4.96031746031746e-05,True,True,False
0,20,M2,0.8,0.0009859767283635751,0.07514457621099581,-0.017799270857662898,0.04523768634860434,8.178420023831311,0.07298911632096898,0.2488038672639214,1.9290123456790123e-05,True,True,False
1,10,M2,0.8,0.0009889641122124205,0.07612116804699912,-0.01750929366874299,0.046863757892872684,9.65988449541093,0.07545469181972395,0.20823801024594096,0.00019290123456790122,True,True,False
2,10,M2,0.8,0.0009978013720097667,0.0758994636668285,-0.01774828879030116,0.042278959976387843,9.621798872274722,0.07507821756564645,0.20885136665891785,0.00018463403880070547,True,True,False
0,10,M2,0.8,0.00111816823466626,0.07603836146047832,-0.017846586533816933,0.04461756521611611,9.72364494294018,0.07574198427530768,0.2081910001478761,0.00019565696649029982,True,True,False
3,8,M2,0.8,0.0011670723511707775,0.07421455530737128,-0.018369282451968026,0.041232148817631334,8.484032935079895,0.07323496026448074,0.22530293894350367,1.1022927689594355e-05,True,True,False
2,8,M2,0.8,0.001323741622206623,0.07425900903710937,-0.01838292960766875,0.043345102871864064,8.550606944924281,0.07338939001818381,0.2246960791113012,1.1022927689594355e-05,True,True,False
1,8,M2,0.8,0.0013526340594978824,0.07446611994190218,-0.01810605237275064,0.04768569204136696,8.604519282135945,0.0736854920945194,0.22409953367513152,1.3778659611992945e-05,True,True,False
0,8,M2,0.8,0.0014608562763301423,0.07441297730901716,-0.018435904350966145,0.045476594337871434,8.648768966495046,0.07393985771397868,0.2240189004735297,1.1022927689594355e-05,True,True,False
3,6,M2,0.8,0.0017414507630065727,0.07360649104617449,-0.018430887919126126,0.03802557131619767,9.966378734814612,0.07522966515620716,0.18895232265609896,5.7870370370370366e-05,True,True,False
1,6,M2,0.8,0.0019203307794678835,0.07379327800451423,-0.01820456151676225,0.04484441993546384,10.060870774808864,0.07584972583153833,0.1875470861750694,6.613756613756613e-05,True,True,False
2,6,M2,0.8,0.0019408891320438961,0.07361420316446951,-0.018459048362680038,0.04008485219798144,10.033229029771736,0.07553307910044797,0.18832811941390606,6.613756613756613e-05,True,True,False
0,6,M2,0.8,0.0021041570840263655,0.07372943949956301,-0.018528286573875938,0.04250055630350888,10.13077275200321,0.0762061235631696,0.18760950680497288,6.613756613756613e-05,True,True,False
3,22,M2,0.8,0.002360321691096905,0.0715178678972154,-0.02021490823347134,0.04143554631215148,8.663388024471683,0.07308847111533825,0.19621766746728525,2.755731922398589e-05,True,True,False
1,31,M2,0.8,0.002551446829328228,0.07203191526189959,-0.016768835505055868,0.035172182764578376,11.757678035757419,0.07793755419536588,0.19700967279010728,0.0002810846560846561,True,True,False
2,31,M2,0.8,0.002569756729363802,0.07181024133426683,-0.0169117393879031,0.0309067273051385,11.71257504404333,0.07774129278344026,0.19769325392042422,0.0002728174603174603,True,True,False
2,22,M2,0.8,0.002580589414498484,0.07155557424309258,-0.020204877794271565,0.04364892391596209,8.731881483325257,0.0733764664979613,0.19567049176748125,2.755731922398589e-05,True,True,False
1,22,M2,0.8,0.0026117612509023573,0.0717401045904394,-0.019879385322867503,0.04834291746214079,8.7627193090062,0.07375874713019913,0.19503258098129145,2.755731922398589e-05,True,True,False
0,31,M2,0.8,0.002762299802948525,0.07195385629733717,-0.017068846736941926,0.03289542243136578,11.827672815658664,0.07829524675546307,0.1970042734124337,0.0002810846560846561,True,True,False
0,22,M2,0.8,0.002768756963470673,0.07169677740186037,-0.020270119394475112,0.046059410951082194,8.83008633186762,0.07404806535115113,0.19505377605139657,2.755731922398589e-05,True,True,False
3,7,M2,0.8,0.00345360318043436,0.06924112056241996,-0.018272455883486662,0.0339812227792497,10.000401833174134,0.07450931720222469,0.2002043400045003,1.9290123456790123e-05,True,True,False
1,11,M2,0.8,0.0035599302877361927,0.06959487746138181,-0.01723122584848464,0.03533783569803972,10.963746647176645,0.07641426134472289,0.20598178112499754,9.645061728395061e-05,True,True,False
2,11,M2,0.8,0.003597303818509901,0.06935411726803223,-0.017426896318369595,0.03137668232230919,10.932659890564327,0.0761333178536578,0.20657863591106987,7.991622574955907e-05,True,True,False
1,7,M2,0.8,0.0036920024843425728,0.06949552493470117,-0.018023007893031635,0.04011411480374414,10.111922775585933,0.0751382391654297,0.19892980419520523,1.9290123456790123e-05,True,True,False
2,7,M2,0.8,0.0036977575568020752,0.06928881024456608,-0.018282520977750794,0.035865483476139236,10.076600848375776,0.074812274743889,0.19959227640937388,1.9290123456790123e-05,True,True,False
0,11,M2,0.8,0.0037880729342814647,0.06952764449080158,-0.01753771123118473,0.033083264364689835,11.03683358444153,0.07676936362538031,0.20592628417363246,8.818342151675484e-05,True,True,False
0,7,M2,0.8,0.0039017080490269056,0.06944245521002838,-0.018350712969738437,0.03785233717487003,10.184615948436186,0.07550132492742935,0.19890968412753618,1.9290123456790123e-05,True,True,False
3,16,M2,0.6,2.517168740598925e-06,0.09609757805052084,-0.0124281846273366,0.05470230577126913,8.39353586727413,0.07493539844449461,0.2633668246444573,2.204585537918871e-05,True,False,False
2,16,M2,0.6,2.746547648689035e-06,0.09600852108280541,-0.012441576062315938,0.057358748676927765,8.456725866663485,0.0751646331821029,0.26253914610395096,2.48015873015873e-05,True,False,False
0,16,M2,0.6,2.906027472900638e-06,0.09604186766070896,-0.012530600627813932,0.0601469791042654,8.559759580448967,0.07562859000604334,0.26152995649393446,3.0313051146384477e-05,True,False,False
