effect,metric,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max,pooled_q10,pooled_median,pooled_q90
orthogonal_at_echo0,leverage,5,0.0010176723189867826,0.001630295551598749,0.0007290903353580637,-0.001006606973865131,0.0030419516118386962,-0.0013065211332060683,0.002780043604416219,-0.0011117386173559068,0.0004979698673158207,0.004139627137338998
orthogonal_at_echo0,leverage_rank,5,0.0012801634092858044,0.0008810525819908596,0.00039401869301665377,0.00018619213770328406,0.002374134680868325,0.0002998232593364382,0.002338693706819449,-4.7048130795612406e-05,0.0006431517631231218,0.003763292499165497
orthogonal_at_echo0,max_abs_return_acf,5,0.0003755587265168869,0.0010014693312983963,0.00044787070043289436,-0.0008679296874615298,0.0016190471404953035,-0.001091610945685358,0.0013056272722096998,-0.0010464800201144722,0.00020472884828003773,0.002125115687702138
orthogonal_at_echo0,mean_log_variance_acf,5,0.008589621741883085,0.003535411751437162,0.0015810842009330167,0.004199828251297046,0.012979415232469125,0.003973439629956009,0.01360666382105702,0.00011036277544049236,0.0038886282125122212,0.026755311580198667
orthogonal_at_echo0,mean_volatility,5,-0.0005538401609574998,0.0002187650091410376,9.783468630754458e-05,-0.0008254727968746436,-0.0002822075250403561,-0.0007546384390462824,-0.0002094816734754285,-0.0017226405430160684,-0.00021990967292413732,3.936719727734859e-05
orthogonal_at_echo0,p_cap_exceedance_fraction,5,3.3154899691358025e-06,7.796482828511559e-06,3.486693117992336e-06,-6.365122071640851e-06,1.2996102009912455e-05,-5.059351576278659e-06,1.5823929398148147e-05,-1.3778659611992945e-05,0.0,1.3778659611992945e-05
orthogonal_at_echo0,q995_volatility,5,0.0008298184269023524,0.00207692653765108,0.0009288297844922183,-0.0017490264818129883,0.003408663335617693,-0.0014466409195351996,0.0033827589019875667,-0.0023237951001009783,1.9954368621954988e-05,0.00552876379782662
orthogonal_at_echo0,q_cap_exceedance_fraction,5,5.489934689153439e-06,1.132405958804904e-05,5.0642734040271834e-06,-8.570742414841202e-06,1.9550611793148078e-05,-6.351100914902998e-06,2.4112654320987653e-05,-1.3778659611992945e-05,0.0,2.755731922398589e-05
orthogonal_at_echo0,q_forward_mean_max_error,5,0.0,5.421010862427522e-20,2.42434975903054e-20,-6.731074021747792e-20,6.731074021747792e-20,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0
orthogonal_at_echo0,rough_hurst,5,0.002286080833504971,0.0007493874856883852,0.000335136271897376,0.0013555933718212645,0.0032165682951886777,0.0012707525378715567,0.0030260007827387133,-6.804440385699411e-05,0.0008201000532824798,0.006591392838556851
orthogonal_at_echo0,taylor_fraction,5,0.01236002604166667,0.010111919718909915,0.004522187974900627,-0.0001955806260304973,0.02491563270936384,-0.0011230468749999977,0.02298177083333334,-0.004166666666666763,0.006250000000000089,0.03770833333333365
orthogonal_at_echo0,taylor_gap,5,0.0017650683466711604,0.0007624586879034179,0.0003409818912374678,0.0008183508437838065,0.0027117858495585142,0.0005066001234895914,0.002532320780156607,-0.00011796801569908914,0.0007530084635775196,0.0049833685595052106
orthogonal_at_echo0,zumbach,5,-0.002697315865354914,0.0032020221743730174,0.0014319878494719503,-0.006673151520724025,0.001278519790014197,-0.007575506226383153,0.0008039828026488742,-0.009621667635162739,-0.0005492644715051481,0.0011868586319854965
orthogonal_at_echo0,zumbach_rank,5,-0.0020590940785577467,0.0022621514042115392,0.001011664863042721,-0.004867926035653306,0.0007497378785378123,-0.005556244633313266,0.0007093740465380894,-0.006774832613954084,-0.0006541842837641185,0.00037778123110820825
orthogonal_at_echo1,absolute_return_tail_ratio,5,0.0031938349536343724,0.013045977053132098,0.005834338304741151,-0.01300488507463219,0.019392554981900935,-0.008718490391703047,0.02129735151612216,-0.023108822404094773,-0.0008147872338259976,0.03761903218599896
orthogonal_at_echo1,acceptance_rate,5,0.0265625,0.020372507516258277,0.009110862335695781,0.001266690863926511,0.05185830913607349,0.0,0.046875,0.0,0.0,0.0
orthogonal_at_echo1,distance,5,-0.001224384157632393,0.0015471388504449308,0.0006919015280451491,-0.003145410768452221,0.000696642453187435,-0.003974485371778285,-0.0003089912901412164,-0.003916089753439854,0.0,0.0
orthogonal_at_echo1,excess_kurtosis,5,0.06706963965593302,0.1938397395997205,0.08668776689716658,-0.17361418642623244,0.3077534657380985,-0.199749367396305,0.33014408850019517,-0.18472205347336193,0.0060498742188288546,0.4034730003303045
orthogonal_at_echo1,hill_tail_index,5,-0.0013505526573541898,0.01794959928843677,0.008027304835565295,-0.023637923875990032,0.020936818561281653,-0.023873865782442653,0.015193552318887006,-0.03837668633648419,0.002463409078035328,0.030899606385661745
orthogonal_at_echo1,hill_threshold_instability,5,0.002888204373719646,0.016986302032571836,0.007596505206234694,-0.018203075322740223,0.023979484070179517,-0.016352450865602733,0.025569529744470736,-0.028770233324432164,0.000716430082745495,0.03992789491481164
orthogonal_at_echo1,leverage,5,0.0010176723189867826,0.001630295551598749,0.0007290903353580637,-0.001006606973865131,0.0030419516118386962,-0.0013065211332060683,0.002780043604416219,-0.0011117386173559068,0.0004979698673158207,0.004139627137338998
orthogonal_at_echo1,leverage_rank,5,0.0012801634092858044,0.0008810525819908596,0.00039401869301665377,0.00018619213770328406,0.002374134680868325,0.0002998232593364382,0.002338693706819449,-4.7048130795612406e-05,0.0006431517631231218,0.003763292499165497
orthogonal_at_echo1,max_abs_return_acf,5,0.0003755587265168869,0.0010014693312983963,0.00044787070043289436,-0.0008679296874615298,0.0016190471404953035,-0.001091610945685358,0.0013056272722096998,-0.0010464800201144722,0.00020472884828003773,0.002125115687702138
orthogonal_at_echo1,mean_log_variance_acf,5,0.008589621741883085,0.003535411751437162,0.0015810842009330167,0.004199828251297046,0.012979415232469125,0.003973439629956009,0.01360666382105702,0.00011036277544049236,0.0038886282125122212,0.026755311580198667
orthogonal_at_echo1,mean_volatility,5,-0.0005538401609574998,0.0002187650091410376,9.783468630754458e-05,-0.0008254727968746436,-0.0002822075250403561,-0.0007546384390462824,-0.0002094816734754285,-0.0017226405430160684,-0.00021990967292413732,3.936719727734859e-05
orthogonal_at_echo1,p_cap_exceedance_fraction,5,3.3154899691358025e-06,7.796482828511559e-06,3.486693117992336e-06,-6.365122071640851e-06,1.2996102009912455e-05,-5.059351576278659e-06,1.5823929398148147e-05,-1.3778659611992945e-05,0.0,1.3778659611992945e-05
orthogonal_at_echo1,q995_volatility,5,0.0008298184269023524,0.00207692653765108,0.0009288297844922183,-0.0017490264818129883,0.003408663335617693,-0.0014466409195351996,0.0033827589019875667,-0.0023237951001009783,1.9954368621954988e-05,0.00552876379782662
orthogonal_at_echo1,q_cap_exceedance_fraction,5,5.489934689153439e-06,1.132405958804904e-05,5.0642734040271834e-06,-8.570742414841202e-06,1.9550611793148078e-05,-6.351100914902998e-06,2.4112654320987653e-05,-1.3778659611992945e-05,0.0,2.755731922398589e-05
orthogonal_at_echo1,q_forward_mean_max_error,5,0.0,5.421010862427522e-20,2.42434975903054e-20,-6.731074021747792e-20,6.731074021747792e-20,-5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0
orthogonal_at_echo1,rough_hurst,5,0.002286080833504971,0.0007493874856883852,0.000335136271897376,0.0013555933718212645,0.0032165682951886777,0.0012707525378715567,0.0030260007827387133,-6.804440385699411e-05,0.0008201000532824798,0.006591392838556851
orthogonal_at_echo1,taylor_fraction,5,0.01236002604166667,0.010111919718909915,0.004522187974900627,-0.0001955806260304973,0.02491563270936384,-0.0011230468749999977,0.02298177083333334,-0.004166666666666763,0.006250000000000089,0.03770833333333365
orthogonal_at_echo1,taylor_gap,5,0.0017650683466711604,0.0007624586879034179,0.0003409818912374678,0.0008183508437838065,0.0027117858495585142,0.0005066001234895914,0.002532320780156607,-0.00011796801569908914,0.0007530084635775196,0.0049833685595052106
orthogonal_at_echo1,zumbach,5,-0.002697315865354914,0.0032020221743730174,0.0014319878494719503,-0.006673151520724025,0.001278519790014197,-0.007575506226383153,0.0008039828026488742,-0.009621667635162739,-0.0005492644715051481,0.0011868586319854965
orthogonal_at_echo1,zumbach_rank,5,-0.0020590940785577467,0.0022621514042115392,0.001011664863042721,-0.004867926035653306,0.0007497378785378123,-0.005556244633313266,0.0007093740465380894,-0.006774832613954084,-0.0006541842837641185,0.00037778123110820825
