seed,steps_per_day,dt_years,maximum_lambda_dt,accepted,distance,p_cap_exceedance_fraction,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,return_path_correlation,variance_path_correlation,return_rmse_in_reference_sd,variance_relative_bias,variance_relative_rmse,maximum_volatility,q999_volatility
930011,32,0.0001240079365079365,0.620039682539683,False,2.160919959511435e-05,4.650297619047619e-05,0.16537213396010061,0.4888573971343928,8.172764710251085,3.5069932459068287,2.9853159444894897,0.5098610838892913,0.1406738549671622,0.1669725503670684,0.01823249155944873,0.07455384293824328,-0.03454380295656038,-0.005248046779666821,0.2451828189955015,0.03140990923872545,0.9208333333333333,0.9860875662954518,0.9991557466340818,0.16659730488022745,-0.0001153499179975338,0.04755426226499191,0.7550942042880254,0.5543926157442156
930011,64,6.200396825396825e-05,0.3100198412698415,False,4.174988384718201e-05,4.8225308641975306e-05,0.16545860541944554,0.489182638759381,8.029221165509837,3.5594797129271623,2.900291323071899,0.3571257607401149,0.14143425857433412,0.16551145005233928,0.020083203738452803,0.07406851330087505,-0.03363460363524705,-0.004174842317940502,0.24663901504283592,0.03168878789181163,0.9083333333333335,0.9999999999999999,1.0,0.0,0.0,0.0,0.7547966735482619,0.5558783089250416
950009,2,0.001984126984126984,9.920634920634928,True,0.0,0.00011022927689594356,0.15637835293264776,0.5018354482819803,6.067479455897089,3.5539010488761913,3.203521739531022,0.5212598051575664,0.09532327106697018,0.18984697116528682,0.046957001979120505,0.07094113126224792,-0.05952901052590582,-0.024764100236539844,0.2127189488749904,0.02392684472483605,0.8208333333333333,0.8802417816799483,0.8686582128245443,0.4890696691648536,-0.0007931076221828966,0.6709604218207339,0.7610547937686007,0.5577690642194032
950009,4,0.000992063492063492,4.960317460317464,True,0.0,8.267195767195767e-05,0.15982575556770828,0.4853603602021257,6.544734628116767,3.582007561926758,3.121534862388522,0.5136903541549203,0.11570771252841776,0.1891402480682398,0.0422645353041099,0.07510951701828994,-0.059386701247604444,-0.01787393912832687,0.23883963388861082,0.025812868348238593,0.8375,0.9052320135387062,0.9491637197869032,0.4360453236332176,-0.00046498897619816386,0.39484993806592955,0.7633464552552339,0.5539190424668491
950009,8,0.000496031746031746,2.480158730158732,True,0.0,5.511463844797178e-05,0.16136780965454464,0.4790394783009213,6.945579353960127,3.5461915664822534,3.0600141743783458,0.47938009124424724,0.1275590652160735,0.19281676651881796,0.037045984283395055,0.07428190735652866,-0.05807405541915858,-0.013772326414666096,0.2546924044742072,0.029632569754470397,0.8624999999999999,0.9372045566335486,0.9838957215485112,0.3546510290701172,-0.0003928633948195167,0.21732141925375567,0.7413828984642592,0.5445781888260293
950009,16,0.000248015873015873,1.240079365079366,False,3.5896116897830927e-07,4.8225308641975306e-05,0.1619559164342091,0.4802111215848958,7.381868476255616,3.5539572997840962,3.0121240878208013,0.4109909520952621,0.13479232814278058,0.17965266907391783,0.03356174076497307,0.07397007721382516,-0.057111778058500755,-0.007645312860220709,0.2612465386696,0.0333207403670473,0.9041666666666668,0.9640991428514163,0.9960712177313721,0.26779871919338544,-0.00031940684568203286,0.10645550700669819,0.7440852398302147,0.5415410113284312
950009,32,0.0001240079365079365,0.620039682539683,False,8.037507465857562e-06,4.1335978835978834e-05,0.1622075168396375,0.47820334173300066,7.450116107971643,3.546366335816002,2.9949867627796056,0.4805547472718889,0.13745652088120416,0.17436697144883728,0.017836060998619462,0.07328914442686736,-0.056050178342686115,-0.006321650508233073,0.2642140945881328,0.03397997871757288,0.9041666666666667,0.9856840320242825,0.999187366107739,0.169147938776522,-7.867602198148753e-05,0.048245922711019525,0.743045297595474,0.5427186040805124
950009,64,6.200396825396825e-05,0.3100198412698415,False,5.652642297052534e-06,4.9947641093474424e-05,0.16227127592342433,0.47846021386414433,7.407824902860667,3.6028617565822985,2.959640860767349,0.4016089965821738,0.1381177186250798,0.16787116351784095,0.01614100520040664,0.07501042334034606,-0.05655982838424828,-0.0065925030621723476,0.2647755548518103,0.03346005563945654,0.9125,1.0,1.0,0.0,0.0,0.0,0.7446282391333316,0.543505266246091
970019,2,0.001984126984126984,9.920634920634928,True,0.0,2.755731922398589e-05,0.1625714637444198,0.512774733074081,5.953400831678041,3.581894824847952,3.1729850687397434,0.5257029091866959,0.08943092531857223,0.19209566722009838,0.05759721327833495,0.07592127990617749,-0.0397185201686495,-0.013029575006658753,0.21144048058634823,0.01811024709464582,0.7916666666666665,0.8869802978148654,0.864080651354161,0.4783716570014064,-8.102980781398369e-05,0.6539860507088062,0.8446477701305356,0.6021537832208631
970019,4,0.000992063492063492,4.960317460317464,True,0.0,2.755731922398589e-05,0.16582536530022007,0.5014485147560103,5.800714488478687,3.429497762174048,3.2580502771617454,0.5591229969695158,0.11299836482227527,0.18957404187286075,0.04933803418865115,0.07780293350499114,-0.041456743925090266,-0.010336081573093828,0.24848403472658695,0.018174020547086674,0.7999999999999999,0.9066395785329997,0.9470498008676969,0.43259061280728034,-0.00032784379388020926,0.3875905534180877,0.8367491549728453,0.5903716845119734
970019,8,0.000496031746031746,2.480158730158732,False,6.649886233461836e-08,2.755731922398589e-05,0.16734404270676215,0.490087385274103,5.8835735445914485,3.4231108787597315,3.1647665749628566,0.494877101143516,0.12890262972958832,0.19660324672723992,0.043694232129717625,0.075980777049397,-0.04243272820530239,-0.007847338749876599,0.2687630781105298,0.01778603584290141,0.8041666666666666,0.9379323312720758,0.9837237262413613,0.3521105516898843,-0.0004523920969198701,0.20975231273016914,0.8370331343089992,0.5996161670352975
970019,16,0.000248015873015873,1.240079365079366,False,4.17756376173131e-05,2.4112654320987653e-05,0.16795286416067276,0.48959897603846253,6.053427312771473,3.521563388175634,3.0542675073844943,0.4434599583458456,0.13413123994712536,0.1943509004513695,0.028102916557278892,0.06951412659905089,-0.04116654464695596,-0.0041736627093375556,0.27788578575432804,0.02114213573491144,0.8208333333333334,0.9651129042659046,0.9959044171093157,0.26392579980098935,-0.00010710049921155598,0.10428316294490457,0.8361666722625806,0.5982862687468585
970019,32,0.0001240079365079365,0.620039682539683,False,9.332048171376357e-05,2.0667989417989417e-05,0.16814185867323675,0.4895124434639653,6.223419539806709,3.5936892834342102,2.953368376944581,0.36079243294880925,0.13603553688659129,0.1923945125706109,0.030777561262579346,0.07078836842086157,-0.04061290610938067,-0.0022811304173523572,0.2801796076524749,0.021319986864534582,0.8166666666666668,0.9859902736419033,0.9992066256085514,0.16728081569475794,4.9516474753175423e-05,0.04575974673569149,0.8360781315854003,0.6034880377996784
970019,64,6.200396825396825e-05,0.3100198412698415,False,0.00020966755507840492,1.808449074074074e-05,0.1681770434608705,0.4883518673682717,6.261760670198281,3.60914294915492,2.9580573978341183,0.388894055388803,0.13649497683404643,0.19366103164565715,0.021995594823583136,0.06993848882682856,-0.0400084285401529,0.0005721018439469144,0.280949288135327,0.022718230104527906,0.8166666666666665,1.0,0.9999999999999998,0.0,0.0,0.0,0.8362955190106607,0.6036815407747522
990001,2,0.001984126984126984,9.920634920634928,True,0.0,2.755731922398589e-05,0.15708117687031697,0.49732504662095484,6.6352662599177075,3.5883664300337776,3.1358750215800604,0.47721491311708375,0.08907111690183671,0.1793712960685876,0.058154871042540635,0.08180822094355238,-0.0769081623548097,-0.032059725861074174,0.196707085242275,0.022464196657486276,0.8374999999999999,0.8781792175101205,0.849885191406309,0.49488013620721927,-0.0011873027057810147,0.6901462814217769,0.6146732836462143,0.5454182225862952
990001,4,0.000992063492063492,4.960317460317464,True,0.0,1.3778659611992945e-05,0.16072098770192972,0.47684340226579763,6.348752767518988,3.550581258426936,3.08194938069767,0.4001763431432581,0.10959788594952151,0.15940450371171933,0.04184543948762687,0.07557799748499662,-0.07625994046119633,-0.02721017520430519,0.22198693636484434,0.02567301662401054,0.8708333333333335,0.9036980862370257,0.941178911276915,0.44089658818070654,-0.0003418805785126946,0.4080762204488211,0.6504489560442329,0.5400347296496768
990001,8,0.000496031746031746,2.480158730158732,True,0.0,1.3778659611992945e-05,0.16225903924451907,0.4722022119060736,6.8504416523521385,3.577819312448266,2.9959313843317212,0.3581774132873607,0.1213217117003662,0.1573652616088614,0.03833801108861547,0.077506556716743,-0.07807934055040981,-0.02446110846796498,0.2381199126020452,0.024791505914536993,0.8833333333333333,0.9350785978168102,0.9818857097148355,0.3618684925869118,-0.00048337910174258515,0.22042616168347304,0.6527939140111496,0.5376602382376566
990001,16,0.000248015873015873,1.240079365079366,True,0.0,1.3778659611992945e-05,0.16292414225453675,0.4688256415588632,6.783213755491979,3.6341748104338873,2.9255851638116077,0.39916006643442126,0.12832089036731184,0.16708020522914402,0.032710113753176964,0.08075273774925547,-0.08148196885004207,-0.02555558541679727,0.24666008661125596,0.027074834040002965,0.8666666666666667,0.964062437251925,0.9952923768271762,0.268799890878464,-0.00015803028996959098,0.11121896884950834,0.636425328191355,0.5372909745703212
990001,32,0.0001240079365079365,0.620039682539683,True,0.0,1.89456569664903e-05,0.16317912687139538,0.4669099983390912,7.092988235188901,3.6547759375450095,2.9164953290389204,0.4587697536722664,0.13076331537260913,0.17132122425026255,0.03160757840481406,0.08081933086866777,-0.07971283950245342,-0.023250815237666367,0.25027223458159853,0.027866585540940916,0.9,0.9856278800279475,0.999089320711416,0.16982237008543222,0.00011135290832329897,0.048726595946093,0.6343978157719317,0.5364057445847668
990001,64,6.200396825396825e-05,0.3100198412698415,True,0.0,2.0667989417989417e-05,0.16320474901118373,0.4663058726136009,7.242695850056298,3.6664657536428504,2.812349547803794,0.3815321506026487,0.13132696625983536,0.16222543522432545,0.020647332435563073,0.07883317141486192,-0.07896169273658839,-0.020798569241059384,0.2513540554664368,0.028157886355201608,0.8916666666666667,0.9999999999999999,1.0,0.0,0.0,0.0,0.6348558493634446,0.5362684668632641
