stage,seed,scenario_id,candidate_id,accepted,distance,feedback_asset_correlation,spike_asset_correlation,p_cap_exceedance_fraction,q_forward_mean_max_error,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,ito_zumbach,ito_zumbach_rank
search,1100003,0,39,True,0.0,0.996259961884662,0.9790548338377681,4.456535218253968e-05,2.7755575615628914e-17,0.16966413444970263,0.40414259514589945,5.3197994106476765,3.4768029891631587,3.025239386697899,0.3665999270828386,0.09740624261631944,0.14373157371466433,0.017494591609710758,0.0857417956201528,-0.07142184219703755,-0.030511567904933548,0.22018893568124298,0.021220167038891763,0.825,0.1402351483248841,0.01299118180163535
search,1100003,0,40,False,0.0345133127768295,0.996259961884662,0.9790548338377681,0.0002925812251984127,2.0816681711721685e-17,0.14647969195383018,0.43933479432420397,6.64036038171266,3.7675244861001587,2.9558204983381104,0.5218356164249556,0.17664969122993224,0.19769660939917816,0.005044988581121941,0.09302543953598502,-0.09657998532958866,-0.04082285343684304,0.27157616445028754,0.04541373937977264,0.89375,0.19268528484168693,0.00044224581385007757
search,1100003,0,41,True,0.0,0.996259961884662,0.9790548338377681,0.0007595486111111111,2.0816681711721685e-17,0.1565602352188535,0.43444706740913835,6.045036629496028,3.668868689099028,2.923632204575143,0.4477660444095194,0.122843471295317,0.2011174611025454,0.05410685451656316,0.08714207184617764,-0.06694332175854445,-0.024540312962464412,0.1948736343279191,0.027780994932079035,0.8187500000000001,0.1979917922912895,0.050651458647161016
search,1100003,0,42,False,0.013748099711492946,0.996259961884662,0.9790548338377681,0.00018601190476190475,2.0816681711721685e-17,0.15417947121293207,0.43265545254328774,6.252396071389254,3.6907831809045524,3.009666547108548,0.5778527815464356,0.17024280452289375,0.18584725480550823,-0.0015009937241727278,0.09277818754822728,-0.09893798950429547,-0.04469396186719569,0.28791448201741876,0.040949726040192286,0.88125,0.18086844685965225,-0.007101971476053941
search,1100003,0,43,False,1.4962448662623518e-05,0.996259961884662,0.9790548338377681,0.0022302052331349205,2.0816681711721685e-17,0.1438023238152306,0.45100073534062557,7.818460207425573,3.7894598401549695,2.825942767228417,0.4819415363108199,0.15469577445526692,0.19013678530750353,0.01273714251585162,0.09658973513994638,-0.08655172924334216,-0.028317591136169582,0.2639919911264502,0.049599369888816025,0.90625,0.18624714308081788,0.007767656118335959
search,1100003,0,44,True,0.0,0.996259961884662,0.9790548338377681,0.0,2.0816681711721685e-17,0.17428574307569145,0.40905107666792,4.092873987188252,3.347590637986802,3.2684885352216977,0.38641107679255227,0.14122144823079946,0.17498404759276465,0.03862668608979158,0.08617062036356724,-0.0826274219975423,-0.03950958754909542,0.2714751303426166,0.016385767030863314,0.75,0.17003662735617225,0.032723401585674876
search,1100003,0,45,False,2.965206065217017e-09,0.996259961884662,0.9790548338377681,1.5500992063492063e-05,2.0816681711721685e-17,0.16763539054473175,0.4129633570822621,5.276562073345095,3.5079012921569195,3.0160470831682664,0.2929900018370001,0.12069589292176797,0.16343158663348015,0.014968144582161445,0.0867831608505944,-0.08376422592978683,-0.03935046342968894,0.24333625180281052,0.024040664415432584,0.80625,0.15915807178325725,0.009604002049647337
search,1100003,0,46,True,0.0,0.996259961884662,0.9790548338377681,0.0008389911954365079,2.0816681711721685e-17,0.14755484856698553,0.4451946738943812,7.099972681183454,3.749367055769154,2.9401942634166875,0.5152754974909706,0.15994021675299785,0.194685083319547,0.02224445684823391,0.09650954857073729,-0.08118055318283321,-0.02771329069415849,0.2642478073218601,0.043507855486898214,0.875,0.19053303974684146,0.017767691708926513
search,1100003,0,47,False,0.0008495271555432697,0.996259961884662,0.9790548338377681,0.0004940941220238095,2.0816681711721685e-17,0.1579026906672262,0.42164536002566855,6.5165937289811104,3.6644524097618985,2.8634155016601825,0.34598636026104196,0.1252044112110734,0.16390093063876107,-0.002050789741410675,0.08898261066951352,-0.08817392771749104,-0.03720254274274007,0.25111973577753194,0.03633737434367115,0.88125,0.16008874318978805,-0.007069115106160609
search,1100003,0,48,True,0.0,0.996259961884662,0.9790548338377681,7.36297123015873e-05,2.0816681711721685e-17,0.1626451829859049,0.42716143750263547,5.43900401045453,3.5930741817608407,3.0997882888865154,0.5569299208376435,0.13253799260589447,0.193610363573128,0.04680321470657836,0.08783498692347944,-0.07339813290244493,-0.030162464052267305,0.22030534400575885,0.02544377595290623,0.8,0.18974567746418528,0.042131466186836275
