spike_shift,metric,mean_paired_effect,between_seed_sd,seed_min,seed_max
0.4,tail_day0_asymmetry_gap,0.11663303848052438,0.02168265287417969,0.0923072465072557,0.14760583915194872
0.4,tail_days1_5_asymmetry_gap,0.2718208994268453,0.029200614286534893,0.2366777052474184,0.31659055966315186
0.5,acceptance_rate,-1.0,0.0,-1.0,-1.0
0.5,distance,0.008697166064913917,0.0023928240252398033,0.00671843726766022,0.012594161352647886
0.5,rough_hurst,0.01570168390255628,0.0008717923326201552,0.01425406106718138,0.016344332484016143
0.5,leverage_rank,-0.031154946616409683,0.00279839616851697,-0.034538071159734805,-0.02749881417216697
0.5,zumbach_rank,-0.08331379896063348,0.011498352884515905,-0.09734621201510027,-0.06568849626539645
0.5,excess_kurtosis,4.726137583217017,1.094714329202463,3.3879100976109013,6.360891337107503
0.5,max_abs_return_acf,0.010377811930921693,0.0010120372574937853,0.008884860623953175,0.01129838622632922
0.5,mean_log_variance_acf,0.023036036826653845,0.0057976356188530745,0.014837156089168881,0.029644282630004466
0.5,taylor_gap,0.016975662406879408,0.0010901260139283254,0.015757756931970287,0.01814365258158386
0.5,p_cap_exceedance_fraction,0.0001985849316578483,8.96411581528726e-05,0.000138647762345679,0.0003522169863315696
0.5,tail_negative_day0_response,0.2358717134942437,0.02262724289022728,0.21262587039792907,0.25875574561368897
0.5,tail_positive_day0_response,0.09633060097824167,0.021330795844031566,0.06999064210456313,0.12024367661236758
0.5,tail_day0_asymmetry_gap,0.13954111251600204,0.02416066519480098,0.11734081344532657,0.17817085894568407
0.5,tail_days1_5_asymmetry_gap,0.32612332569040736,0.032059298700528295,0.2871728452561612,0.3753856474643467
